id ,state,year(s),year_min,residency,measure_group,measure,category,subcategory,population_denominator_dentition,estimate,lower_CI,upper_CI
10212,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,region,City of Detroit,all adults ages 65+,18.1,0,43.3
10213,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,region,Suburban Detroit,all adults ages 65+,13.4,8.2,18.5
10214,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,region,Southern Lower Peninsula,all adults ages 65+,12.1,5.1,19.2
10215,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,age,65--74,all adults ages 65+,15.1,5.5,24.6
10216,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,age,75--84,all adults ages 65+,5.3,2,8.6
10217,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,age,85+,all adults ages 65+,7.5,2.2,12.8
10218,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,gender,male,all adults ages 65+,13.4,5.1,21.6
10219,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,gender,female,all adults ages 65+,9,5.2,12.9
10220,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,race,White,all adults ages 65+,9.4,4.5,14.3
10221,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,race,Black/African American,all adults ages 65+,16.9,0,34.3
10222,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,gingival inflammation,race,Other,all adults ages 65+,6.9,0,20.7
10223,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,all,total,all adults ages 65+,3.4,1.6,5.3
10224,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,region,Upper Peninsula,all adults ages 65+,3.7,0,8.8
10225,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,region,Northern Lower Peninsula,all adults ages 65+,1.7,0,4.2
10226,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,region,City of Detroit,all adults ages 65+,11,0,24.7
10227,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,region,Suburban Detroit,all adults ages 65+,7.8,1.5,3.5
10228,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,region,Southern Lower Peninsula,all adults ages 65+,1.8,0.1,3.5
10229,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,age,65--74,all adults ages 65+,5.8,1.8,9.7
10230,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,age,75--84,all adults ages 65+,1.9,0,4.1
10231,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,age,85+,all adults ages 65+,0.7,0,1.8
10232,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,gender,male,all adults ages 65+,6,2.3,9.6
10233,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,gender,female,all adults ages 65+,2.4,0.3,4.6
10234,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,race,White,all adults ages 65+,2.9,1.3,4.6
10235,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,race,Black/African American,all adults ages 65+,7.4,0,17.2
10236,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,tooth mobility,race,Other,all adults ages 65+,,,
10237,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,all,total,all adults ages 65+,7.4,3.6,11.1
10238,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,region,Upper Peninsula,all adults ages 65+,19.9,0,42.6
10239,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,region,Northern Lower Peninsula,all adults ages 65+,3.8,0.9,6.8
10240,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,region,City of Detroit,all adults ages 65+,10,0,21.4
10241,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,region,Suburban Detroit,all adults ages 65+,3.7,0.9,6.6
10242,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,region,Southern Lower Peninsula,all adults ages 65+,6.2,1.1,11.3
10243,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,age,65--74,all adults ages 65+,8.9,2.3,15.4
10244,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,age,75--84,all adults ages 65+,5.7,1.3,10.1
10245,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,age,85+,all adults ages 65+,6.7,0.1,13.3
10246,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,gender,male,all adults ages 65+,6.2,0.9,11.5
10247,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,gender,female,all adults ages 65+,8,4.3,11.7
10248,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,race,White,all adults ages 65+,7.2,3,11.3
10249,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,race,Black/African American,all adults ages 65+,9.9,1.6,18.2
10250,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,severe dry mouth,race,Other,all adults ages 65+,6.9,0,22.6
10251,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,all,total,all adults ages 65+,12.1,7.7,16.5
10252,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,region,Upper Peninsula,all adults ages 65+,19.2,0,42.3
10253,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,region,Northern Lower Peninsula,all adults ages 65+,6.3,2.7,9.9
10254,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,region,City of Detroit,all adults ages 65+,18.1,0,43.3
10255,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,region,Suburban Detroit,all adults ages 65+,15.1,8.8,21.3
10256,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,region,Southern Lower Peninsula,all adults ages 65+,11,6.3,15.8
10257,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,age,65--74,all adults ages 65+,14.6,7.2,22.1
10258,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,age,75--84,all adults ages 65+,9.1,2.9,15.3
10259,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,age,85+,all adults ages 65+,11.2,4.3,18.1
10260,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,gender,male,all adults ages 65+,18.4,10.2,26.7
10261,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,gender,female,all adults ages 65+,9.5,5.4,13.6
10262,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,race,White,all adults ages 65+,11.6,7.4,15.9
10263,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,race,Black/African American,all adults ages 65+,16.9,0,34.3
10264,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,periodontal treatment needed,race,Other,all adults ages 65+,0.9,0,2.9
10265,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,all,total,all adults ages 65+,2.5,1.4,3.5
10266,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,region,Upper Peninsula,all adults ages 65+,,,
10267,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,region,Northern Lower Peninsula,all adults ages 65+,4.2,0.9,7.4
10268,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,region,City of Detroit,all adults ages 65+,2.7,0,6.3
10269,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,region,Suburban Detroit,all adults ages 65+,1.6,0,4.9
10270,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,region,Southern Lower Peninsula,all adults ages 65+,2.4,1,3.8
10271,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,age,65--74,all adults ages 65+,1.4,0,2.8
10272,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,age,75--84,all adults ages 65+,2.3,0.4,4.3
10273,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,age,85+,all adults ages 65+,5.2,0.5,9.9
10274,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,gender,male,all adults ages 65+,4.6,1.4,7.8
10275,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,gender,female,all adults ages 65+,1.6,0.4,2.7
10276,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,race,White,all adults ages 65+,2.5,1.3,3.7
10277,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,race,Black/African American,all adults ages 65+,2.6,0.1,5.2
10278,Michigan,2016-2017,2016,congregate meal sites,condition of soft tissue,suspicious soft tissue lesion,race,Other,all adults ages 65+,2.8,0,9
10279,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,all ,total,all adults ages 65+,28.2,22.9,33.6
10280,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,age,LT 65 years,all adults ages 65+,35.6,19.5,51.7
10281,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,age,65--74,all adults ages 65+,33.1,20.8,45.5
10282,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,age,75--84 years,all adults ages 65+,29,20.3,37.7
10283,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,age,85--94 years,all adults ages 65+,23.4,17.8,29
10284,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,age,95+ years,all adults ages 65+,28.9,18.1,39.7
10285,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,sex,male,all adults ages 65+,28.3,19.5,37.1
10286,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,sex,female,all adults ages 65+,28.2,21,35.3
10287,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,race / ethnicity,White (non-Hispanic),all adults ages 65+,28.1,22.3,33.8
10288,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,race / ethnicity,Non-White or Hispanic,all adults ages 65+,32.7,16.6,48.7
10289,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,facility type,assited living,all adults ages 65+,20.2,13.4,27
10290,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,facility type,nursing,all adults ages 65+,32.7,25.4,40
10291,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,urbanicity of county,rural,all adults ages 65+,31.2,24.5,37.8
10292,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,edentulous,urbanicity of county,urban,all adults ages 65+,23.1,14.1,32.2
10293,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,all ,total,all adults ages 65+,55.9,50.3,61.5
10294,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,age,LT 65 years,all adults ages 65+,60.8,48.9,72.6
10295,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,age,65--74,all adults ages 65+,54.4,37.6,71.2
10296,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,age,75--84 years,all adults ages 65+,58.2,48.3,68.1
10297,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,age,85--94 years,all adults ages 65+,50.9,43.5,58.3
10298,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,age,95+ years,all adults ages 65+,69,58,80
10299,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,sex,male,all adults ages 65+,60.7,53.3,68
10300,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,sex,female,all adults ages 65+,53.6,47.4,59.8
10301,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,race / ethnicity,White (non-Hispanic),all adults ages 65+,55.2,49.2,61.2
10302,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,race / ethnicity,Non-White or Hispanic,all adults ages 65+,69,57,80.9
10303,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,facility type,assited living,all adults ages 65+,47.5,40.8,54.2
10304,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,facility type,nursing,all adults ages 65+,60.5,52.8,68.2
10305,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,urbanicity of county,rural,all adults ages 65+,59.2,52.5,65.8
10306,Nebraska,2019,2019,nursing or assisted living,condition of hard tissue,severe tooth loss,urbanicity of county,urban,all adults ages 65+,50.1,40.3,59.9
10307,Minnesota,2016,2016,nursing ,condition of hard tissue,untreated decay,all,total,all adults ages 65+,41.4,38,44.7
10308,Minnesota,2016,2016,nursing ,condition of hard tissue,untreated decay,sex,male,all adults ages 65+,37.8,33.9,41.8
10309,Minnesota,2016,2016,nursing ,condition of hard tissue,untreated decay,sex,female,all adults ages 65+,48.7,42.1,55.3
10310,Minnesota,2016,2016,nursing ,condition of soft tissue,severe dry mouth,all,total,all adults ages 65+,6.7,3.6,9.9
10311,Minnesota,2016,2016,nursing ,condition of soft tissue,severe gum inflammation,all,total,all adults ages 65+,7,4.3,9.8
10312,Minnesota,2016,2016,nursing ,condition of soft tissue,suspicious soft tissue lesion,all,total,all adults ages 65+,3.5,2.2,4.8
10313,Minnesota,2016,2016,nursing ,dental treatment needed,none,all,total,all adults ages 65+,57.2,53.4,61.1
10314,Minnesota,2016,2016,nursing ,dental treatment needed,early care,all,total,all adults ages 65+,40.1,35.8,44.4
10315,Minnesota,2016,2016,nursing ,dental treatment needed,urgent care,all,total,all adults ages 65+,2.6,1.5,3.8
10316,Minnesota,2016,2016,nursing ,condition of soft tissue,periodontal treatment needed,all,total,all adults ages 65+,5.9,3.1,8.6
10317,Minnesota,2016,2016,nursing ,condition of hard tissue,no tooth loss,all,total,all adults ages 65+,6.9,5.2,8.5
10318,Minnesota,2016,2016,nursing ,condition of hard tissue,partial tooth loss,all,total,all adults ages 65+,65.9,62.7,69.1
10319,Minnesota,2016,2016,nursing ,condition of hard tissue,complete tooth loss,all,total,all adults ages 65+,25.1,21.3,29
10320,Minnesota,2016,2016,nursing ,condition of hard tissue,partial tooth loss,denture ownership,owns dentures,all adults ages 65+,48.7,43.3,54.1
10321,Minnesota,2016,2016,nursing ,condition of hard tissue,complete tooth loss,denture ownership,owns dentures,all adults ages 65+,81,77.1,85
10322,Minnesota,2016,2016,nursing ,condition of hard tissue,partial tooth loss,denture ownership,does not own dentures,all adults ages 65+,50.7,45.4,56.1
10323,Minnesota,2016,2016,nursing ,condition of hard tissue,complete tooth loss,denture ownership,does not own dentures,all adults ages 65+,7.2,3.5,11
10324,Minnesota,2016,2016,nursing ,denture use,use dentures,all,total,all adults ages 65+,41.9,37.2,46.7
10325,California,2018,2018,nursing ,condition of hard tissue,untreated decay,all,total,all adults ages 65+,48,,
10326,California,2018,2018,nursing ,condition of hard tissue,untreated decay,age,65--74,all adults ages 65+,46,,
10327,California,2018,2018,nursing ,condition of hard tissue,untreated decay,age,75--84,all adults ages 65+,48,,
10328,California,2018,2018,nursing ,condition of hard tissue,untreated decay,age,85+,all adults ages 65+,50,,
10329,California,2018,2018,nursing ,condition of hard tissue,root fragments,all,total,all adults ages 65+,18.5,,
10330,California,2018,2018,nursing ,condition of hard tissue,no natural teeth,all,total,all adults ages 65+,34.6,,
10331,California,2018,2018,nursing ,condition of hard tissue,1-6 natural teeth,all,total,all adults ages 65+,5.6,,
10332,California,2018,2018,nursing ,condition of hard tissue,6+ teeth,all,total,all adults ages 65+,59.8,,
10333,California,2018,2018,community dwelling,condition of hard tissue,no natural teeth,all,total,all adults ages 65+,18.4,,
10334,California,2018,2018,community dwelling,condition of hard tissue,1-6 natural teeth,all,total,all adults ages 65+,6.8,,
10335,California,2018,2018,community dwelling,condition of hard tissue,6+ teeth,all,total,all adults ages 65+,74.8,,
10336,California,2018,2018,nursing,condition of hard tissue,no natural teeth,denture ownership,has no dentures,all adults ages 65+,35.9,,
10337,California,2018,2018,nursing,condition of hard tissue,no natural teeth,denture ownership,has only one denture,all adults ages 65+,4.8,,
10338,California,2018,2018,nursing,condition of hard tissue,no natural teeth,denture ownership,has both dentures,all adults ages 65+,59.4,,
10339,California,2018,2018,community dwelling,condition of hard tissue,no natural teeth,denture ownership,has no dentures,all adults ages 65+,18,,
10340,California,2018,2018,community dwelling,condition of hard tissue,no natural teeth,denture ownership,has only one denture,all adults ages 65+,12,,
10341,California,2018,2018,community dwelling,condition of hard tissue,no natural teeth,denture ownership,has both dentures,all adults ages 65+,70,,
10342,California,2018,2018,nursing,dental treatment needed,early or urgent,all,total,all adults ages 65+,21.3,,
10343,California,2018,2018,nursing,dental treatment needed,urgent,all,total,all adults ages 65+,7.1,,
10344,California,2018,2018,nursing,dental treatment needed,early,all,total,all adults ages 65+,20.9,,
10345,California,2018,2018,nursing,dental treatment needed,none,all,total,all adults ages 65+,69.8,,
10346,California,2018,2018,community dwelling,dental treatment needed,early or urgent,all,total,all adults ages 65+,22.5,,
10347,California,2018,2018,community dwelling,dental treatment needed,urgent,all,total,all adults ages 65+,4.7,,
10348,California,2018,2018,community dwelling,dental treatment needed,early,all,total,all adults ages 65+,28,,
10349,California,2018,2018,community dwelling,dental treatment needed,none,all,total,all adults ages 65+,67.4,,
10350,California,2018,2018,nursing,condition of soft tissue,untreated decay,urbanicity,urban,all adults ages 65+,42.9,,
10351,California,2018,2018,nursing,condition of soft tissue,untreated decay,urbanicity,rural,all adults ages 65+,51.9,,
10352,North Dakota,2016,2016,nursing,condition of soft tissue,periodontal treatment needed,all,total,all adults ages 65+,20,,
10353,North Dakota,2016,2016,nursing,denture use,lower partial denture,all,total,all adults ages 65+,22,,
10354,North Dakota,2016,2016,nursing,condition of hard tissue,root fragments,all,total,all adults ages 65+,23,,
10355,North Dakota,2016,2016,nursing,condition of hard tissue,untreated decay,all,total,all adults ages 65+,23,,
10356,North Dakota,2016,2016,nursing,condition of soft tissue,severe gingival inflammation,all,total,all adults ages 65+,23,,
10357,North Dakota,2016,2016,nursing,condition of soft tissue,substantial oral debris,all,total,all adults ages 65+,30,,
10358,North Dakota,2016,2016,nursing,dental treatment needed,needs early/urgent care,all,total,all adults ages 65+,34,,
10359,North Dakota,2016,2016,nursing,denture use,upper partial denture,all,total,all adults ages 65+,41,,
10360,North Dakota,2016,2016,nursing,condition of soft tissue,periodontal treatment needed,insurance status,private / third party,all adults ages 65+,15,,
10361,North Dakota,2016,2016,nursing,condition of soft tissue,periodontal treatment needed,insurance status,Medicare / No insurance,all adults ages 65+,19,,
10362,North Dakota,2016,2016,nursing,condition of soft tissue,periodontal treatment needed,insurance status,Medicaid,all adults ages 65+,25,,
10363,North Dakota,2016,2016,nursing,condition of soft tissue,severe gingivities,insurance status,private / third party,all adults ages 65+,20,,
10364,North Dakota,2016,2016,nursing,condition of soft tissue,severe gingivities,insurance status,Medicare / No insurance,all adults ages 65+,14,,
10365,North Dakota,2016,2016,nursing,condition of soft tissue,severe gingivities,insurance status,Medicaid,all adults ages 65+,31,,
10366,North Dakota,2016,2016,nursing,condition of hard tissue,root fragments,insurance status,private / third party,all adults ages 65+,17,,
10367,North Dakota,2016,2016,nursing,condition of hard tissue,root fragments,insurance status,Medicare / No insurance,all adults ages 65+,25,,
10368,North Dakota,2016,2016,nursing,condition of hard tissue,root fragments,insurance status,Medicaid,all adults ages 65+,26,,
10369,North Dakota,2016,2016,nursing,condition of hard tissue,untreated decay,insurance status,private / third party,all adults ages 65+,20,,
10370,North Dakota,2016,2016,nursing,condition of hard tissue,untreated decay,insurance status,Medicare / No insurance,all adults ages 65+,19,,
10371,North Dakota,2016,2016,nursing,condition of hard tissue,untreated decay,insurance status,Medicaid,all adults ages 65+,29,,
10372,North Dakota,2016,2016,nursing,condition of hard tissue,substantial tooth loss,insurance status,private / third party,all adults ages 65+,55,,
10373,North Dakota,2016,2016,nursing,condition of hard tissue,substantial tooth loss,insurance status,Medicare / No insurance,all adults ages 65+,69,,
10374,North Dakota,2016,2016,nursing,condition of hard tissue,substantial tooth loss,insurance status,Medicaid,all adults ages 65+,75,,
10375,North Dakota,2016,2016,nursing,condition of hard tissue,edentulous,insurance status,private / third party,all adults ages 65+,17,,
10376,North Dakota,2016,2016,nursing,condition of hard tissue,edentulous,insurance status,Medicare / No insurance,all adults ages 65+,31,,
10377,North Dakota,2016,2016,nursing,condition of hard tissue,edentulous,insurance status,Medicaid,all adults ages 65+,41,,
10378,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,all,total,all adults ages 65+,29.1,24,34.2
10379,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,age,<65,all adults ages 65+,30.2,24.6,35.9
10380,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,age,65–74,all adults ages 65+,38.2,28.6,47.9
10381,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,age,75–84,all adults ages 65+,30.9,22.1,39.7
10382,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,age,85+,all adults ages 65+,21.7,13.8,29.6
10383,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,gender,Male,all adults ages 65+,32.8,26.7,38.8
10384,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,gender,Female,all adults ages 65+,27.1,20.9,33.3
10385,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,race,Non‐Hispanic white,all adults ages 65+,27.8,21.6,34
10386,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,race,Non‐Hispanic black,all adults ages 65+,33.8,24.7,42.8
10387,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,Medicaid status,Yes,all adults ages 65+,37.4,32,42.9
10388,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,Medicaid status,No,all adults ages 65+,15.6,9.9,21
10389,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,length of residence,<1 year,all adults ages 65+,27.5,20.5,34.4
10390,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,length of residence,1–4 years,all adults ages 65+,26.1,18.9,33.2
10391,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,length of residence,5+ years,all adults ages 65+,35.4,26.7,44.1
10392,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,facility location,Coastal Plains,all adults ages 65+,33.5,25.9,41
10393,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,facility location,Piedmont,all adults ages 65+,26.4,19.3,33.5
10394,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,facility location,Mountains,all adults ages 65+,31.7,17.5,45.9
10395,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,facility size,Small (20–60 beds),all adults ages 65+,38,31.3,44.6
10396,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,facility size,Medium (61–100 beds),all adults ages 65+,21,13.6,28.5
10397,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,edentulous,facility size,Large (101+ beds),all adults ages 65+,32.7,23.9,41.6
10398,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,all,total,all adults ages 65+,50,41,59
10399,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,age,<65,all adults ages 65+,28.8,15.7,41.9
10400,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,age,65–74,all adults ages 65+,59.5,47.7,71.3
10401,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,age,75–84,all adults ages 65+,52.1,38.7,65.4
10402,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,age,85+,all adults ages 65+,64.6,45.3,83.9
10403,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,gender,Male,all adults ages 65+,43.8,29.2,58.5
10404,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,gender,Female,all adults ages 65+,52.7,43.9,61.4
10405,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,race,Non‐Hispanic white,all adults ages 65+,54.1,44.4,63.8
10406,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,race,Non‐Hispanic black,all adults ages 65+,32.1,10.6,53.5
10407,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,Medicaid status,Yes,all adults ages 65+,45.2,35.3,55.2
10408,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,Medicaid status,No,all adults ages 65+,67.5,51.5,83.5
10409,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,length of residence,<1 year,all adults ages 65+,51.1,36.4,65.8
10410,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,length of residence,1–4 years,all adults ages 65+,58.2,46.9,69.4
10411,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,length of residence,5+ years,all adults ages 65+,43.4,29.7,57
10412,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,facility location,Coastal Plains,all adults ages 65+,41.5,21,62
10413,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,facility location,Piedmont,all adults ages 65+,51.5,40.3,62.7
10414,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,facility location,Mountains,all adults ages 65+,53.8,29,78.6
10415,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,facility size,Small (20–60 beds),all adults ages 65+,41.1,28.4,53.9
10416,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,facility size,Medium (61–100 beds),all adults ages 65+,54,34.6,73.4
10417,North Carolina,2015-2016,2015,any long term care,denture use,complete dentures,facility size,Large (101+ beds),all adults ages 65+,56.7,36.9,76.6
10418,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,severe gingival inflammation,age,65--74,all adults ages 65+,16.3,7.5,25.2
10419,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,substantial oral debris,Medicaid,No,all adults ages 65+,16.7,9.6,23.8
10420,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,untreated decay,Medicaid,No,all adults ages 65+,37.5,26.9,48.2
10421,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,severe gingival inflammation,age,75--84,all adults ages 65+,16.3,7.5,25.2
10422,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,substantial oral debris,Medicaid,Yes,all adults ages 65+,17.1,10.5,23.7
10423,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,untreated decay,Medicaid,Yes,all adults ages 65+,62.3,53.1,71.4
10424,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,severe gingival inflammation,age,85+,all adults ages 65+,22.8,14.2,31.5
10425,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,substantial oral debris,age,65--74,all adults ages 65+,17.7,9.3,26.1
10426,North Carolina,2015-2016,2015,any long term care,condition of hard tissue,untreated decay,age,65--74,all adults ages 65+,56.5,43.7,69.4
10427,North Carolina,2015-2016,2015,any long term care,condition of soft tissue,severe gingival inflammation,age,<65,all adults ages 65+,27.9,17.4,38.5
