"ref_num","category"
"GA-002958","Federally Qualified Health Centers - Medical Services"
"GA-002959","Federally Qualified Health Centers - Medical Services"
"GA-002960","Federally Qualified Health Centers - Medical Services"
"GA-002961","Dental Providers"
"GA-002961","Family Planning Providers"
"GA-002961","Federally Qualified Health Centers - Medical Services"
"GA-002962","Federally Qualified Health Centers - Medical Services"
"GA-002963","Children's Hospitals (inpatient only)"
"GA-002964","Hemophilia Treatment Centers"
"GA-002965","Dental Providers"
"GA-002965","Family Planning Providers"
"GA-002965","Federally Qualified Health Centers - Medical Services"
"GA-002966","Family Planning Providers"
"GA-002967","Federally Qualified Health Centers - Medical Services"
"GA-002968","Federally Qualified Health Centers - Medical Services"
"GA-002969","Family Planning Providers"
"GA-002969","Federally Qualified Health Centers - Medical Services"
"GA-002970","Dental Providers"
"GA-002970","Family Planning Providers"
"GA-002970","Federally Qualified Health Centers - Medical Services"
"GA-002971","Family Planning Providers"
"GA-002971","Federally Qualified Health Centers - Medical Services"
"GA-002972","Ryan White Providers"
"GA-002973","Dental Providers"
"GA-002973","Family Planning Providers"
"GA-002973","Federally Qualified Health Centers - Medical Services"
"GA-002974","Federally Qualified Health Centers - Medical Services"
"GA-002975","Rural Health Clinics"
"GA-002976","Rural Health Clinics"
"GA-002977","Rural Health Clinics"
"GA-002978","Family Planning Providers"
"GA-002978","Federally Qualified Health Centers - Medical Services"
"GA-002979","Rural Health Clinics"
"GA-002980","Rural Health Clinics"
"GA-002981","Rural Health Clinics"
"GA-002982","Dental Providers"
"GA-002982","Family Planning Providers"
"GA-002982","Federally Qualified Health Centers - Medical Services"
"GA-002983","Dental Providers"
"GA-002983","Family Planning Providers"
"GA-002983","Federally Qualified Health Centers - Medical Services"
"GA-002984","Family Planning Providers"
"GA-002984","Federally Qualified Health Centers - Medical Services"
"GA-002985","Family Planning Providers"
"GA-002985","Federally Qualified Health Centers - Medical Services"
"GA-002985","Ryan White Providers"
"GA-002986","Federally Qualified Health Centers - Medical Services"
"GA-002987","Federally Qualified Health Centers - Medical Services"
"GA-002988","Family Planning Providers"
"GA-002988","Federally Qualified Health Centers - Medical Services"
"GA-002989","Dental Providers"
"GA-002989","Federally Qualified Health Centers - Medical Services"
"GA-002990","Dental Providers"
"GA-002990","Federally Qualified Health Centers - Medical Services"
"GA-002991","Rural Health Clinics"
"GA-002992","Ryan White Providers"
"GA-002993","Dental Providers"
"GA-002993","Family Planning Providers"
"GA-002993","Federally Qualified Health Centers - Medical Services"
"GA-002994","Family Planning Providers"
"GA-002994","Federally Qualified Health Centers - Medical Services"
"GA-002995","Rural Health Clinics"
"GA-002996","Federally Qualified Health Centers - Medical Services"
"GA-002997","Federally Qualified Health Centers - Medical Services"
"GA-002998","Federally Qualified Health Centers - Medical Services"
"GA-002999","Dental Providers"
"GA-002999","Family Planning Providers"
"GA-002999","Federally Qualified Health Centers - Medical Services"
"GA-003000","Dental Providers"
"GA-003000","Family Planning Providers"
"GA-003000","Federally Qualified Health Centers - Medical Services"
"GA-003001","Rural Health Clinics"
"GA-003002","Rural Health Clinics"
"GA-003003","Family Planning Providers"
"GA-003003","Federally Qualified Health Centers - Medical Services"
"GA-003004","Rural Health Clinics"
"GA-003005","Rural Health Clinics"
"GA-003006","Family Planning Providers"
"GA-003006","Federally Qualified Health Centers - Medical Services"
"GA-003007","Dental Providers"
"GA-003007","Family Planning Providers"
"GA-003007","Federally Qualified Health Centers - Medical Services"
"GA-003008","Dental Providers"
"GA-003008","Family Planning Providers"
"GA-003008","Federally Qualified Health Centers - Medical Services"
"GA-003009","Federally Qualified Health Centers - Medical Services"
"HI-003010","Dental Providers"
"HI-003010","Family Planning Providers"
"HI-003010","Federally Qualified Health Centers - Medical Services"
"HI-003011","Black Lung Clinics"
"HI-003011","Dental Providers"
"HI-003011","Family Planning Providers"
"HI-003011","Federally Qualified Health Centers - Medical Services"
"HI-003012","Federally Qualified Health Centers - Medical Services"
"HI-003013","Dental Providers"
"HI-003013","Federally Qualified Health Centers - Dental Services"
"HI-003014","Dental Providers"
"HI-003015","Family Planning Providers"
"HI-003015","Federally Qualified Health Centers - Medical Services"
"HI-003016","Dental Providers"
"HI-003016","Family Planning Providers"
"HI-003016","Federally Qualified Health Centers - Medical Services"
"HI-003017","Children's Hospitals (inpatient only)"
"HI-003018","Hemophilia Treatment Centers"
"HI-003019","Children's Hospitals (inpatient only)"
"HI-003020","Family Planning Providers"
"HI-003020","Sexually Transmitted Disease Clinics"
"HI-003021","Federally Qualified Health Centers - Medical Services"
"HI-003022","Federally Qualified Health Centers - Medical Services"
"HI-003023","Dental Providers"
"HI-003023","Family Planning Providers"
"HI-003023","Federally Qualified Health Centers - Dental Services"
"HI-003023","Federally Qualified Health Centers - Medical Services"
"HI-003024","Federally Qualified Health Centers - Medical Services"
"HI-003024","Ryan White Providers"
"HI-003025","Federally Qualified Health Centers - Medical Services"
"HI-003026","Federally Qualified Health Centers - Medical Services"
"HI-003027","Dental Providers"
"HI-003027","Federally Qualified Health Centers - Medical Services"
"HI-003028","Dental Providers"
"HI-003028","Federally Qualified Health Centers - Medical Services"
"HI-003029","Dental Providers"
"HI-003029","Federally Qualified Health Centers - Medical Services"
"HI-003030","Federally Qualified Health Centers - Medical Services"
"HI-003031","Dental Providers"
"HI-003031","Family Planning Providers"
"HI-003031","Federally Qualified Health Centers - Medical Services"
"HI-003032","Dental Providers"
"HI-003032","Family Planning Providers"
"HI-003032","Federally Qualified Health Centers - Medical Services"
"HI-003033","Family Planning Providers"
"HI-003033","Sexually Transmitted Disease Clinics"
"HI-003034","Dental Providers"
"HI-003034","Federally Qualified Health Centers - Medical Services"
"HI-003035","Dental Providers"
"HI-003036","Federally Qualified Health Centers - Medical Services"
"HI-003037","Dental Providers"
"HI-003037","Federally Qualified Health Centers - Medical Services"
"HI-003037","Other ECP Providers"
"HI-003038","Family Planning Providers"
"HI-003038","Federally Qualified Health Centers - Medical Services"
"HI-003039","Dental Providers"
"HI-003039","Federally Qualified Health Centers - Medical Services"
"HI-003040","Dental Providers"
"HI-003040","Family Planning Providers"
"HI-003040","Federally Qualified Health Centers - Dental Services"
"HI-003040","Federally Qualified Health Centers - Medical Services"
"HI-003041","Dental Providers"
"HI-003041","Federally Qualified Health Centers - Medical Services"
"HI-003042","Federally Qualified Health Centers - Medical Services"
"HI-003043","Dental Providers"
"HI-003044","Rural Health Clinics"
"HI-003045","Dental Providers"
"HI-003045","Family Planning Providers"
"HI-003045","Federally Qualified Health Centers - Medical Services"
"HI-003046","Family Planning Providers"
"HI-003046","Federally Qualified Health Centers - Medical Services"
"HI-003047","Family Planning Providers"
"HI-003048","Dental Providers"
"HI-003049","Federally Qualified Health Centers - Medical Services"
"HI-003049","Other ECP Providers"
"HI-003050","Dental Providers"
"HI-003050","Family Planning Providers"
"HI-003050","Federally Qualified Health Centers - Medical Services"
"HI-003051","Family Planning Providers"
"HI-003051","Federally Qualified Health Centers - Medical Services"
"HI-003052","Black Lung Clinics"
"HI-003052","Community Mental Health Centers"
"HI-003052","Family Planning Providers"
"HI-003052","Federally Qualified Health Centers - Medical Services"
"HI-003053","Dental Providers"
"HI-003054","Federally Qualified Health Centers - Medical Services"
"HI-003055","Federally Qualified Health Centers - Medical Services"
"HI-003056","Federally Qualified Health Centers - Medical Services"
"HI-003057","Family Planning Providers"
"HI-003057","Federally Qualified Health Centers - Medical Services"
"HI-003058","Dental Providers"
"HI-003058","Family Planning Providers"
"HI-003058","Federally Qualified Health Centers - Medical Services"
"HI-003059","Family Planning Providers"
"HI-003059","Federally Qualified Health Centers - Medical Services"
"HI-003060","Federally Qualified Health Centers - Dental Services"
"HI-003060","Federally Qualified Health Centers - Medical Services"
"HI-012380","Dental Providers"
"HI-003061","Dental Providers"
"HI-003061","Family Planning Providers"
"HI-003061","Federally Qualified Health Centers - Medical Services"
"HI-003062","Dental Providers"
"HI-003062","Federally Qualified Health Centers - Medical Services"
"HI-003062","Other ECP Providers"
"HI-003063","Family Planning Providers"
"HI-003063","Federally Qualified Health Centers - Medical Services"
"IA-003064","Rural Health Clinics"
"IA-003065","Family Planning Providers"
"IA-003066","Federally Qualified Health Centers - Medical Services"
"IA-003067","Rural Health Clinics"
"IA-003068","Rural Health Clinics"
"IA-003069","Rural Health Clinics"
"IA-003070","Inpatient Hospitals (other than children's hospitals)"
"IA-003071","Rural Health Clinics"
"IA-003072","Rural Health Clinics"
"IA-003073","Rural Health Clinics"
"IA-003074","Rural Health Clinics"
"IA-003075","Rural Health Clinics"
"IA-003076","Rural Health Clinics"
"IA-003077","Family Planning Providers"
"IA-003078","Family Planning Providers"
"IA-003079","Family Planning Providers"
"IA-003079","Federally Qualified Health Centers - Medical Services"
"IA-003080","Family Planning Providers"
"IA-003081","Family Planning Providers"
"IA-003081","Sexually Transmitted Disease Clinics"
"IA-003082","Sexually Transmitted Disease Clinics"
"IA-003082","Tuberculosis Clinics"
"IA-003083","Dental Providers"
"IA-003083","Federally Qualified Health Centers - Medical Services"
"IA-003084","Community Mental Health Centers"
"IA-003084","Federally Qualified Health Centers - Medical Services"
"IA-003085","Community Mental Health Centers"
"IA-003085","Federally Qualified Health Centers - Medical Services"
"IA-003086","Inpatient Hospitals (other than children's hospitals)"
"IA-003087","Family Planning Providers"
"IA-003087","Sexually Transmitted Disease Clinics"
"IA-003088","Family Planning Providers"
"IA-003088","Rural Health Clinics"
"IA-003089","Family Planning Providers"
"IA-003089","Sexually Transmitted Disease Clinics"
"IA-003090","Dental Providers"
"IA-003090","Federally Qualified Health Centers - Medical Services"
"IA-003091","Federally Qualified Health Centers - Medical Services"
"IA-003092","Dental Providers"
"IA-003092","Federally Qualified Health Centers - Medical Services"
"IA-003093","Rural Health Clinics"
"IA-003094","Inpatient Hospitals (other than children's hospitals)"
"IA-003095","Rural Health Clinics"
"IA-003096","Family Planning Providers"
"IA-003097","Inpatient Hospitals (other than children's hospitals)"
"IA-003098","Dental Providers"
"IA-003098","Federally Qualified Health Centers - Medical Services"
"IA-003099","Inpatient Hospitals (other than children's hospitals)"
"IA-003100","Rural Health Clinics"
"IA-003101","Dental Providers"
"IA-003102","Family Planning Providers"
"IA-003102","Federally Qualified Health Centers - Medical Services"
"IA-003103","Dental Providers"
"IA-003103","Federally Qualified Health Centers - Medical Services"
"IA-003104","Dental Providers"
"IA-003104","Federally Qualified Health Centers - Medical Services"
"IA-003105","Community Mental Health Centers"
"IA-003105","Dental Providers"
"IA-003105","Rural Health Clinics"
"IA-003106","Family Planning Providers"
"IA-003106","Other ECP Providers"
"IA-003107","Inpatient Hospitals (other than children's hospitals)"
"IA-003108","Rural Health Clinics"
"IA-003109","Rural Health Clinics"
"IA-003110","Family Planning Providers"
"IA-003111","Children's Hospitals (inpatient only)"
"IA-003112","Children's Hospitals (inpatient only)"
"IA-003113","Federally Qualified Health Centers - Medical Services"
"IA-003113","Ryan White Providers"
"IA-003114","Dental Providers"
"IA-003115","Dental Providers"
"IA-003115","Federally Qualified Health Centers - Medical Services"
"IA-003116","Federally Qualified Health Centers - Medical Services"
"IA-003117","Family Planning Providers"
"IA-003118","Dental Providers"
"IA-003118","Family Planning Providers"
"IA-003119","Federally Qualified Health Centers - Medical Services"
"IA-003120","Family Planning Providers"
"IA-003120","Federally Qualified Health Centers - Medical Services"
"IA-003121","Federally Qualified Health Centers - Medical Services"
"IA-003122","Federally Qualified Health Centers - Medical Services"
"IA-003123","Inpatient Hospitals (other than children's hospitals)"
"IA-003124","Rural Health Clinics"
"IA-003125","Dental Providers"
"IA-003125","Federally Qualified Health Centers - Medical Services"
"IA-003126","Community Mental Health Centers"
"IA-003127","Family Planning Providers"
"IA-003128","Rural Health Clinics"
"IA-003129","Rural Health Clinics"
"IA-003130","Rural Health Clinics"
"IA-003131","Rural Health Clinics"
"IA-003132","Rural Health Clinics"
"IA-003133","Rural Health Clinics"
"IA-003134","Rural Health Clinics"
"IA-003135","Rural Health Clinics"
"IA-003136","Federally Qualified Health Centers - Medical Services"
"IA-003137","Rural Health Clinics"
"IA-003138","Family Planning Providers"
"IA-003139","Family Planning Providers"
"IA-003140","Dental Providers"
"IA-003140","Family Planning Providers"
"IA-003140","Federally Qualified Health Centers - Medical Services"
"IA-003140","Other ECP Providers"
"IA-003140","Sexually Transmitted Disease Clinics"
"IA-003141","Rural Health Clinics"
"IA-003142","Family Planning Providers"
"IA-003142","Sexually Transmitted Disease Clinics"
"IA-003143","Rural Health Clinics"
"IA-003144","Rural Health Clinics"
"IA-003145","Outpatient Hospital Clinics"
"IA-003146","Inpatient Hospitals (other than children's hospitals)"
"IA-003147","Rural Health Clinics"
"IA-003148","Rural Health Clinics"
"IA-003149","Rural Health Clinics"
"IA-003150","Inpatient Hospitals (other than children's hospitals)"
"IA-003151","Rural Health Clinics"
"IA-003152","Family Planning Providers"
"IA-003153","Rural Health Clinics"
"IA-003154","Rural Health Clinics"
"IA-003155","Rural Health Clinics"
"IA-003156","Family Planning Providers"
"IA-003157","Rural Health Clinics"
"IA-003158","Rural Health Clinics"
"IA-003159","Rural Health Clinics"
"IA-003160","Family Planning Providers"
"IA-003160","Sexually Transmitted Disease Clinics"
"IA-003161","Rural Health Clinics"
"IA-003162","Inpatient Hospitals (other than children's hospitals)"
"IA-003163","Rural Health Clinics"
"IA-003164","Inpatient Hospitals (other than children's hospitals)"
"IA-003165","Dental Providers"
"IA-003165","Family Planning Providers"
"IA-003165","Hemophilia Treatment Centers"
"IA-003165","Other ECP Providers"
"IA-003165","Outpatient Hospital Clinics"
"IA-003165","Ryan White Providers"
"IA-003165","Sexually Transmitted Disease Clinics"
"IA-003165","Tuberculosis Clinics"
"IA-003166","Family Planning Providers"
"IA-003167","Outpatient Hospital Clinics"
"IA-003168","Rural Health Clinics"
"IA-003169","Federally Qualified Health Centers - Medical Services"
"IA-003169","Rural Health Clinics"
"IA-003170","Rural Health Clinics"
"IA-003171","Inpatient Hospitals (other than children's hospitals)"
"IA-003172","Rural Health Clinics"
"IA-003173","Rural Health Clinics"
"IA-003174","Rural Health Clinics"
"IA-003175","Rural Health Clinics"
"IA-003176","Rural Health Clinics"
"IA-003177","Community Mental Health Centers"
"IA-003177","Federally Qualified Health Centers - Medical Services"
"IA-003178","Rural Health Clinics"
"IA-003179","Rural Health Clinics"
"IA-003180","Rural Health Clinics"
"IA-003181","Community Mental Health Centers"
"IA-003181","Dental Providers"
"IA-003181","Federally Qualified Health Centers - Medical Services"
"IA-003182","Rural Health Clinics"
"IA-003183","Rural Health Clinics"
"IA-003184","Rural Health Clinics"
"IA-003185","Rural Health Clinics"
"IA-003186","Rural Health Clinics"
"IA-003187","Rural Health Clinics"
"IA-003188","Family Planning Providers"
"IA-003188","Sexually Transmitted Disease Clinics"
"IA-003189","Dental Providers"
"IA-003190","Family Planning Providers"
"IA-003190","Federally Qualified Health Centers - Medical Services"
"IA-003191","Family Planning Providers"
"IA-003192","Family Planning Providers"
"IA-003193","Rural Health Clinics"
"IA-003194","Inpatient Hospitals (other than children's hospitals)"
"IA-003195","Rural Health Clinics"
"IA-003196","Family Planning Providers"
"IA-003196","Sexually Transmitted Disease Clinics"
"IA-003197","Inpatient Hospitals (other than children's hospitals)"
"IA-003198","Outpatient Hospital Clinics"
"IA-003199","Rural Health Clinics"
"IA-003200","Rural Health Clinics"
"IA-003201","Inpatient Hospitals (other than children's hospitals)"
"IA-003202","Rural Health Clinics"
"IA-003203","Inpatient Hospitals (other than children's hospitals)"
"IA-003204","Dental Providers"
"IA-003204","Federally Qualified Health Centers - Medical Services"
"IA-003205","Federally Qualified Health Centers - Medical Services"
"IA-003206","Rural Health Clinics"
"IA-003207","Rural Health Clinics"
"IA-003208","Rural Health Clinics"
"IA-003209","Rural Health Clinics"
"IA-003210","Rural Health Clinics"
"IA-003211","Rural Health Clinics"
"IA-003212","Rural Health Clinics"
"IA-003213","Dental Providers"
"IA-003213","Federally Qualified Health Centers - Medical Services"
"IA-003214","Inpatient Hospitals (other than children's hospitals)"
"IA-003215","Rural Health Clinics"
"IA-003216","Rural Health Clinics"
"IA-003217","Rural Health Clinics"
"IA-003218","Rural Health Clinics"
"IA-003219","Rural Health Clinics"
"IA-003220","Inpatient Hospitals (other than children's hospitals)"
"IA-003221","Rural Health Clinics"
"IA-003222","Rural Health Clinics"
"IA-003223","Dental Providers"
"IA-003223","Family Planning Providers"
"IA-003223","Federally Qualified Health Centers - Medical Services"
"IA-003223","Sexually Transmitted Disease Clinics"
"IA-003224","Federally Qualified Health Centers - Medical Services"
"IA-003224","Ryan White Providers"
"IA-003225","Rural Health Clinics"
"IA-003226","Dental Providers"
"IA-003226","Federally Qualified Health Centers - Medical Services"
"IA-003227","Outpatient Hospital Clinics"
"IA-003228","Rural Health Clinics"
"IA-003229","Rural Health Clinics"
"IA-003230","Rural Health Clinics"
"IA-003231","Rural Health Clinics"
"IA-003232","Rural Health Clinics"
"IA-003233","Dental Providers"
"IA-003233","Family Planning Providers"
"IA-003233","Rural Health Clinics"
"IA-003233","Sexually Transmitted Disease Clinics"
"IA-003233","Tribal Health Program operated under P.L. 93-638"
"IA-003234","Rural Health Clinics"
"IA-003235","Family Planning Providers"
"IA-003236","Rural Health Clinics"
"IA-003237","Rural Health Clinics"
"IA-003238","Rural Health Clinics"
"IA-003239","Rural Health Clinics"
"IA-003240","Family Planning Providers"
"IA-003240","Sexually Transmitted Disease Clinics"
"IA-003241","Dental Providers"
"IA-003241","Federally Qualified Health Centers - Medical Services"
"IA-003242","Rural Health Clinics"
"IA-003243","Rural Health Clinics"
"IA-003244","Outpatient Hospital Clinics"
"IA-003245","Inpatient Hospitals (other than children's hospitals)"
"IA-003246","Family Planning Providers"
"IA-003246","Sexually Transmitted Disease Clinics"
"IA-003247","Dental Providers"
"IA-003247","Federally Qualified Health Centers - Medical Services"
"IA-003248","Rural Health Clinics"
"IA-003249","Inpatient Hospitals (other than children's hospitals)"
"IA-003250","Inpatient Hospitals (other than children's hospitals)"
"IA-003251","Rural Health Clinics"
"IA-003252","Rural Health Clinics"
"IA-003253","Rural Health Clinics"
"IA-003254","Rural Health Clinics"
"ID-003255","Federally Qualified Health Centers - Medical Services"
"ID-003256","Federally Qualified Health Centers - Medical Services"
"ID-003257","Rural Health Clinics"
"ID-003258","Family Planning Providers"
"ID-003258","Rural Health Clinics"
"ID-003258","Sexually Transmitted Disease Clinics"
"ID-003258","Tuberculosis Clinics"
"ID-003259","Federally Qualified Health Centers - Medical Services"
"ID-003259","Rural Health Clinics"
"ID-003260","Inpatient Hospitals (other than children's hospitals)"
"ID-003261","Family Planning Providers"
"ID-003261","Rural Health Clinics"
"ID-003261","Sexually Transmitted Disease Clinics"
"ID-003261","Tuberculosis Clinics"
"ID-003262","Hemophilia Treatment Centers"
"ID-003263","Federally Qualified Health Centers - Medical Services"
"ID-003264","Family Planning Providers"
"ID-003264","Sexually Transmitted Disease Clinics"
"ID-003265","Family Planning Providers"
"ID-003265","Sexually Transmitted Disease Clinics"
"ID-003266","Federally Qualified Health Centers - Medical Services"
"ID-003266","Ryan White Providers"
"ID-003266","Tuberculosis Clinics"
"ID-003267","Other ECP Providers"
"ID-003267","Tribal Health Program operated under P.L. 93-638"
"ID-003268","Rural Health Clinics"
"ID-003269","Community Mental Health Centers"
"ID-003269","Dental Providers"
"ID-003269","Federally Qualified Health Centers - Medical Services"
"ID-003270","Inpatient Hospitals (other than children's hospitals)"
"ID-003271","Rural Health Clinics"
"ID-003272","Federally Qualified Health Centers - Medical Services"
"ID-003273","Dental Providers"
"ID-003273","Federally Qualified Health Centers - Medical Services"
"ID-003274","Dental Providers"
"ID-003274","Family Planning Providers"
"ID-003274","Sexually Transmitted Disease Clinics"
"ID-003274","Tuberculosis Clinics"
"ID-003275","Dental Providers"
"ID-003275","Federally Qualified Health Centers - Medical Services"
"ID-003276","Federally Qualified Health Centers - Medical Services"
"ID-003277","Family Planning Providers"
"ID-003277","Sexually Transmitted Disease Clinics"
"ID-003278","Federally Qualified Health Centers - Medical Services"
"ID-003279","Dental Providers"
"ID-003280","Community Mental Health Centers"
"ID-003281","Dental Providers"
"ID-003282","Federally Qualified Health Centers - Medical Services"
"ID-003283","Federally Qualified Health Centers - Medical Services"
"ID-003284","Community Mental Health Centers"
"ID-003285","Community Mental Health Centers"
"ID-003286","Inpatient Hospitals (other than children's hospitals)"
"ID-003287","Other ECP Providers"
"ID-003288","Community Mental Health Centers"
"ID-003288","Dental Providers"
"ID-003288","Federally Qualified Health Centers - Medical Services"
"ID-003288","Other ECP Providers"
"ID-003289","Outpatient Hospital Clinics"
"ID-003290","Federally Qualified Health Centers - Medical Services"
"ID-003291","Inpatient Hospitals (other than children's hospitals)"
"ID-003292","Rural Health Clinics"
"ID-003293","Family Planning Providers"
"ID-003293","Sexually Transmitted Disease Clinics"
"ID-003294","Family Planning Providers"
"ID-003294","Sexually Transmitted Disease Clinics"
"ID-003295","Outpatient Hospital Clinics"
"ID-003296","Rural Health Clinics"
"ID-003297","Federally Qualified Health Centers - Medical Services"
"ID-003298","Dental Providers"
"ID-003298","Federally Qualified Health Centers - Medical Services"
"ID-003299","Dental Providers"
"ID-003299","Family Planning Providers"
"ID-003299","Indian Health Service"
"ID-003299","Outpatient Hospital Clinics"
"ID-003299","Rural Health Clinics"
"ID-003300","Federally Qualified Health Centers - Medical Services"
"ID-003301","Community Mental Health Centers"
"ID-003301","Other ECP Providers"
"ID-003302","Rural Health Clinics"
"ID-003303","Rural Health Clinics"
"ID-003304","Community Mental Health Centers"
"ID-003305","Outpatient Hospital Clinics"
"ID-003306","Family Planning Providers"
"ID-003306","Sexually Transmitted Disease Clinics"
"ID-003307","Family Planning Providers"
"ID-003307","Sexually Transmitted Disease Clinics"
"ID-003308","Dental Providers"
"ID-003308","Federally Qualified Health Centers - Medical Services"
"ID-003309","Family Planning Providers"
"ID-003309","Sexually Transmitted Disease Clinics"
"ID-003310","Federally Qualified Health Centers - Medical Services"
"ID-003310","Rural Health Clinics"
"ID-003311","Community Mental Health Centers"
"ID-003311","Dental Providers"
"ID-003311","Federally Qualified Health Centers - Medical Services"
"ID-003312","Family Planning Providers"
"ID-003312","Sexually Transmitted Disease Clinics"
"ID-003313","Outpatient Hospital Clinics"
"ID-003314","Federally Qualified Health Centers - Medical Services"
"ID-003315","Rural Health Clinics"
"ID-003316","Dental Providers"
"ID-003316","Federally Qualified Health Centers - Medical Services"
"ID-003317","Outpatient Hospital Clinics"
"ID-003318","Dental Providers"
"ID-003318","Other ECP Providers"
"ID-003318","Tribal Health Program operated under P.L. 93-638"
"ID-003319","Federally Qualified Health Centers - Medical Services"
"ID-003320","Family Planning Providers"
"ID-003320","Sexually Transmitted Disease Clinics"
"ID-003321","Federally Qualified Health Centers - Medical Services"
"ID-003322","Federally Qualified Health Centers - Medical Services"
"ID-003323","Family Planning Providers"
"ID-003323","Sexually Transmitted Disease Clinics"
"ID-003324","Dental Providers"
"ID-003324","Federally Qualified Health Centers - Medical Services"
"ID-003325","Family Planning Providers"
"ID-003325","Sexually Transmitted Disease Clinics"
"ID-003326","Dental Providers"
"ID-003326","Federally Qualified Health Centers - Medical Services"
"ID-003327","Dental Providers"
"ID-003327","Federally Qualified Health Centers - Medical Services"
"ID-003328","Inpatient Hospitals (other than children's hospitals)"
"ID-003329","Rural Health Clinics"
"ID-003330","Rural Health Clinics"
"ID-003331","Rural Health Clinics"
"ID-003332","Family Planning Providers"
"ID-003332","Sexually Transmitted Disease Clinics"
"ID-003333","Dental Providers"
"ID-003333","Federally Qualified Health Centers - Medical Services"
"ID-003334","Community Mental Health Centers"
"ID-003334","Dental Providers"
"ID-003335","Family Planning Providers"
"ID-003335","Sexually Transmitted Disease Clinics"
"ID-003336","Family Planning Providers"
"ID-003336","Sexually Transmitted Disease Clinics"
"ID-003337","Federally Qualified Health Centers - Medical Services"
"ID-003338","Federally Qualified Health Centers - Medical Services"
"ID-003339","Federally Qualified Health Centers - Medical Services"
"ID-003340","Federally Qualified Health Centers - Medical Services"
"ID-003341","Outpatient Hospital Clinics"
"ID-003342","Family Planning Providers"
"ID-003342","Sexually Transmitted Disease Clinics"
"ID-003343","Outpatient Hospital Clinics"
"ID-003344","Inpatient Hospitals (other than children's hospitals)"
"ID-003345","Dental Providers"
"ID-003345","Federally Qualified Health Centers - Medical Services"
"ID-003346","Outpatient Hospital Clinics"
"ID-003347","Dental Providers"
"ID-003347","Federally Qualified Health Centers - Medical Services"
"ID-003347","Tribal Health Program operated under P.L. 93-638"
"ID-003348","Dental Providers"
"ID-003349","Federally Qualified Health Centers - Medical Services"
"ID-003350","Federally Qualified Health Centers - Medical Services"
"ID-003351","Community Mental Health Centers"
"ID-003351","Dental Providers"
"ID-003351","Federally Qualified Health Centers - Medical Services"
"ID-003352","Federally Qualified Health Centers - Medical Services"
"ID-003353","Rural Health Clinics"
"ID-003354","Federally Qualified Health Centers - Medical Services"
"ID-003355","Community Mental Health Centers"
"ID-003355","Federally Qualified Health Centers - Medical Services"
"ID-003356","Community Mental Health Centers"
"ID-003357","Federally Qualified Health Centers - Medical Services"
"ID-003358","Family Planning Providers"
"ID-003358","Sexually Transmitted Disease Clinics"
"ID-003359","Family Planning Providers"
"ID-003359","Sexually Transmitted Disease Clinics"
"ID-003360","Federally Qualified Health Centers - Medical Services"
"ID-003360","Rural Health Clinics"
"ID-003361","Federally Qualified Health Centers - Medical Services"
"ID-003362","Rural Health Clinics"
"ID-003363","Community Mental Health Centers"
"ID-003363","Dental Providers"
"ID-003363","Federally Qualified Health Centers - Medical Services"
"ID-003364","Dental Providers"
"ID-003365","Rural Health Clinics"
"ID-003366","Family Planning Providers"
"ID-003366","Sexually Transmitted Disease Clinics"
"ID-003367","Rural Health Clinics"
"ID-003368","Community Mental Health Centers"
"ID-003368","Federally Qualified Health Centers - Medical Services"
"ID-003369","Family Planning Providers"
"ID-003369","Rural Health Clinics"
"ID-003369","Sexually Transmitted Disease Clinics"
"ID-003369","Tuberculosis Clinics"
"ID-003370","Rural Health Clinics"
"ID-003371","Rural Health Clinics"
"ID-003372","Community Mental Health Centers"
"ID-003373","Family Planning Providers"
"ID-003373","Sexually Transmitted Disease Clinics"
"ID-003374","Dental Providers"
"ID-003374","Federally Qualified Health Centers - Medical Services"
"ID-003375","Federally Qualified Health Centers - Medical Services"
"ID-003376","Rural Health Clinics"
"ID-003377","Dental Providers"
"ID-003378","Rural Health Clinics"
"ID-003379","Rural Health Clinics"
"IL-003380","Family Planning Providers"
"IL-003380","Federally Qualified Health Centers - Medical Services"
"IL-003380","Ryan White Providers"
"IL-003381","Federally Qualified Health Centers - Medical Services"
"IL-003382","Federally Qualified Health Centers - Medical Services"
"IL-003383","Rural Health Clinics"
"IL-003384","Inpatient Hospitals (other than children's hospitals)"
"IL-003385","Inpatient Hospitals (other than children's hospitals)"
"IL-003386","Family Planning Providers"
"IL-003386","Federally Qualified Health Centers - Medical Services"
"IL-003387","Other ECP Providers"
"IL-003388","Family Planning Providers"
"IL-003388","Federally Qualified Health Centers - Medical Services"
"IL-003388","Ryan White Providers"
"IL-003389","Family Planning Providers"
"IL-003389","Federally Qualified Health Centers - Medical Services"
"IL-003390","Family Planning Providers"
"IL-003390","Federally Qualified Health Centers - Medical Services"
"IL-003391","Other ECP Providers"
"IL-003392","Dental Providers"
"IL-003392","Federally Qualified Health Centers - Medical Services"
"IL-003393","Federally Qualified Health Centers - Medical Services"
"IL-003394","Other ECP Providers"
"IL-003395","Family Planning Providers"
"IL-003395","Federally Qualified Health Centers - Medical Services"
"IL-003395","Ryan White Providers"
"IL-003396","Rural Health Clinics"
"IL-003397","Rural Health Clinics"
"IL-003398","Other ECP Providers"
"IL-003399","Family Planning Providers"
"IL-003399","Federally Qualified Health Centers - Medical Services"
