state,report_years,years_max,base_population,geo_unit,geography,category,subcategory,measure_group,measure_value,indicator,estimate,lower_CI,upper_CI
Ohio,2009-2010,2010,grade 3,county,Putnam,all,total,dental sealants,present,dental sealants,34.7,28.19,41.25
Ohio,2009-2010,2010,grade 3,county,Putnam,all,total,treatment need,early or urgent,treatment need: early or urgent,12.2,6.36,18.6
Ohio,2009-2010,2010,grade 3,county,Putnam,all,total,caries,untreated,untreated caries,11.4,5.87,16.96
Ohio,2004-2005,2005,grade 3,county,Putnum,all,total,caries,any history,caries experience,42.3,23.1,61.5
Ohio,2004-2005,2005,grade 3,county,Putnum,all,total,dental sealants,present,dental sealants,31.9,26.7,37.2
Ohio,2004-2005,2005,grade 3,county,Putnum,all,total,caries,untreated,untreated caries,6.3,0,14
Ohio,2004-2005,2005,grade 3,county,Putnum,all,total,treatment need,early or urgent,treatment need: early or urgent,5.3,0,11.5
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 1,all,total,treatment need,none,treatment need: none,67.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 1,all,total,caries,any history,caries experience,55.4,,
North Carolina,2017-2018,2018,grade 3,region,Region 1,all,total,dental sealants,present,dental sealants,47.6,,
South Carolina,2008,2008,grade 3,region,region 1,all,total,caries,any history,caries experience,45.7,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 1,all,total,dental sealants,present,dental sealants,39.2,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 1,all,total,caries,untreated,untreated caries,36.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 1,all,total,treatment need,early,treatment need: early,28.4,,
South Carolina,2008,2008,grade K + 3,region,region 1,all,total,caries,untreated,untreated caries,21.3,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 1,all,total,caries,untreated,untreated caries,15,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 1,all,total,caries,untreated,untreated caries,14.9,,
South Carolina,2008,2008,grade K + 3,region,region 1,all,total,treatment need,early,treatment need: early,13.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 1,all,total,caries,untreated,untreated caries,11.8,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 1,all,total,dental sealants,present,dental sealants,10.4,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 1,all,total,dental sealants,present,dental sealants,8.5,,
South Carolina,2008,2008,grade K + 3,region,region 1,all,total,treatment need,urgent,treatment need: urgent,7.3,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 1,all,total,treatment need,urgent,treatment need: urgent,5.8,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 1,all,total,treatment need,urgent,treatment need: urgent,3.8,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 1,all,total,treatment need,urgent,treatment need: urgent,2.7,,
North Carolina,2017-2018,2018,grade 3,region,Region 1,all,total,treatment need,urgent,treatment need: urgent,0.9,,
North Carolina,2017-2018,2018,grade 3,region,Region 10,all,total,dental sealants,present,dental sealants,36.9,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 10,all,total,caries,untreated,untreated caries,19.8,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 10,all,total,caries,untreated,untreated caries,16.8,,
North Carolina,2017-2018,2018,grade 3,region,Region 10,all,total,caries,untreated,untreated caries,9.1,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 10,all,total,dental sealants,present,dental sealants,2.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 10,all,total,treatment need,urgent,treatment need: urgent,1.1,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 10,all,total,treatment need,urgent,treatment need: urgent,0.9,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 10,all,total,treatment need,urgent,treatment need: urgent,0.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 2,all,total,caries,any history,caries experience,71.1,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 2,all,total,caries,untreated,untreated caries,50.4,,
North Carolina,2017-2018,2018,grade 3,region,Region 2,all,total,dental sealants,present,dental sealants,49.9,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 2,all,total,treatment need,none,treatment need: none,47,,
South Carolina,2008,2008,grade K + 3,region,region 2,all,total,caries,any history,caries experience,46.6,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 2,all,total,treatment need,early,treatment need: early,44.2,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 2,all,total,dental sealants,present,dental sealants,33.8,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 2,all,total,caries,untreated,untreated caries,19.8,,
South Carolina,2008,2008,grade K + 3,region,region 2,all,total,caries,untreated,untreated caries,16.7,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 2,all,total,caries,untreated,untreated caries,14.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 2,all,total,caries,untreated,untreated caries,13.5,,
South Carolina,2008,2008,grade K + 3,region,region 2,all,total,treatment need,early,treatment need: early,11.6,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 2,all,total,treatment need,urgent,treatment need: urgent,8.8,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 2,all,total,dental sealants,present,dental sealants,6.6,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 2,all,total,treatment need,urgent,treatment need: urgent,6,,
South Carolina,2008,2008,grade K + 3,region,region 2,all,total,treatment need,urgent,treatment need: urgent,5.7,,
North Carolina,2017-2018,2018,grade 3,region,Region 2,all,total,treatment need,urgent,treatment need: urgent,4.2,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 2,all,total,treatment need,urgent,treatment need: urgent,1.9,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 2,all,total,dental sealants,present,dental sealants,1.7,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 3,all,total,caries,any history,caries experience,68.6,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 3,all,total,treatment need,none,treatment need: none,62.8,,
North Carolina,2017-2018,2018,grade 3,region,Region 3,all,total,dental sealants,present,dental sealants,48.1,,
South Carolina,2008,2008,grade K + 3,region,region 3,all,total,caries,any history,caries experience,42.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 3,all,total,caries,untreated,untreated caries,38.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 3,all,total,treatment need,early,treatment need: early,27.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 3,all,total,dental sealants,present,dental sealants,21.8,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 3,all,total,caries,untreated,untreated caries,18.9,,
South Carolina,2008,2008,grade K + 3,region,region 3,all,total,caries,untreated,untreated caries,16.8,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 3,all,total,caries,untreated,untreated caries,15.1,,
North Carolina,2017-2018,2018,grade 3,region,Region 3,all,total,caries,untreated,untreated caries,13.6,,
South Carolina,2008,2008,grade K + 3,region,region 3,all,total,treatment need,early,treatment need: early,11.3,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 3,all,total,treatment need,urgent,treatment need: urgent,9.7,,
South Carolina,2008,2008,grade K + 3,region,region 3,all,total,treatment need,urgent,treatment need: urgent,5.7,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 3,all,total,treatment need,urgent,treatment need: urgent,3.7,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 3,all,total,dental sealants,present,dental sealants,3.1,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 3,all,total,dental sealants,present,dental sealants,1.9,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 3,all,total,treatment need,urgent,treatment need: urgent,1.9,,
North Carolina,2017-2018,2018,grade 3,region,Region 3,all,total,treatment need,urgent,treatment need: urgent,1.9,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 4,all,total,treatment need,none,treatment need: none,63.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 4,all,total,caries,any history,caries experience,61.2,,
South Carolina,2008,2008,grade K + 3,region,region 4,all,total,caries,any history,caries experience,56.7,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 4,all,total,dental sealants,present,dental sealants,39,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 4,all,total,caries,untreated,untreated caries,35,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 4,all,total,treatment need,early,treatment need: early,29.8,,
North Carolina,2017-2018,2018,grade 3,region,Region 4,all,total,dental sealants,present,dental sealants,27.8,,
South Carolina,2008,2008,grade K + 3,region,region 4,all,total,caries,untreated,untreated caries,26.7,,
South Carolina,2008,2008,grade K + 3,region,region 4,all,total,treatment need,early,treatment need: early,16.1,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 4,all,total,caries,untreated,untreated caries,11.1,,
South Carolina,2008,2008,grade K + 3,region,region 4,all,total,treatment need,urgent,treatment need: urgent,10.1,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 4,all,total,caries,untreated,untreated caries,9.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 4,all,total,caries,untreated,untreated caries,9.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 4,all,total,treatment need,urgent,treatment need: urgent,6.7,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 4,all,total,dental sealants,present,dental sealants,2,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 4,all,total,dental sealants,present,dental sealants,1.3,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 4,all,total,treatment need,urgent,treatment need: urgent,1.3,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 4,all,total,treatment need,urgent,treatment need: urgent,1,,
North Carolina,2017-2018,2018,grade 3,region,Region 4,all,total,treatment need,urgent,treatment need: urgent,0.6,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 5,all,total,caries,any history,caries experience,70.6,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 5,all,total,caries,untreated,untreated caries,56.1,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 5,all,total,treatment need,early,treatment need: early,52.2,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 5,all,total,dental sealants,present,dental sealants,50.1,,
South Carolina,2008,2008,grade K + 3,region,region 5,all,total,caries,any history,caries experience,49.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 5,all,total,treatment need,none,treatment need: none,46.4,,
North Carolina,2017-2018,2018,grade 3,region,Region 5,all,total,dental sealants,present,dental sealants,32.4,,
South Carolina,2008,2008,grade K + 3,region,region 5,all,total,caries,untreated,untreated caries,26.3,,
South Carolina,2008,2008,grade K + 3,region,region 5,all,total,treatment need,early,treatment need: early,20.1,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 5,all,total,caries,untreated,untreated caries,18.3,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 5,all,total,caries,untreated,untreated caries,17.8,,
North Carolina,2017-2018,2018,grade 3,region,Region 5,all,total,caries,untreated,untreated caries,11.1,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 5,all,total,dental sealants,present,dental sealants,6.4,,
South Carolina,2008,2008,grade K + 3,region,region 5,all,total,treatment need,urgent,treatment need: urgent,6,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 5,all,total,treatment need,urgent,treatment need: urgent,5.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 5,all,total,treatment need,urgent,treatment need: urgent,4,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 5,all,total,treatment need,urgent,treatment need: urgent,3.6,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 5,all,total,dental sealants,present,dental sealants,2.3,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 5,all,total,treatment need,urgent,treatment need: urgent,1.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 6,all,total,caries,any history,caries experience,64.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 6,all,total,caries,untreated,untreated caries,54.8,,
South Carolina,2008,2008,grade K + 3,region,region 6,all,total,caries,any history,caries experience,54.7,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 6,all,total,treatment need,none,treatment need: none,46.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 6,all,total,treatment need,early,treatment need: early,35.4,,
North Carolina,2017-2018,2018,grade 3,region,Region 6,all,total,dental sealants,present,dental sealants,32.6,,
South Carolina,2008,2008,grade K + 3,region,region 6,all,total,caries,untreated,untreated caries,28.1,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 6,all,total,dental sealants,present,dental sealants,27.3,,
South Carolina,2008,2008,grade K + 3,region,region 6,all,total,treatment need,early,treatment need: early,21.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 6,all,total,treatment need,urgent,treatment need: urgent,18.1,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 6,all,total,caries,untreated,untreated caries,17.8,,
North Carolina,2017-2018,2018,grade 3,region,Region 6,all,total,caries,untreated,untreated caries,17.4,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 6,all,total,caries,untreated,untreated caries,15.4,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 6,all,total,dental sealants,present,dental sealants,6.6,,
North Carolina,2017-2018,2018,grade 3,region,Region 6,all,total,treatment need,urgent,treatment need: urgent,5,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 6,all,total,treatment need,urgent,treatment need: urgent,4.9,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 6,all,total,treatment need,urgent,treatment need: urgent,3,,
South Carolina,2008,2008,grade K + 3,region,region 6,all,total,treatment need,urgent,treatment need: urgent,1.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 7,all,total,caries,any history,caries experience,71.8,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 7,all,total,treatment need,none,treatment need: none,53,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 7,all,total,caries,untreated,untreated caries,43.1,,
South Carolina,2008,2008,grade K + 3,region,region 7,all,total,caries,any history,caries experience,41.7,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 7,all,total,treatment need,early,treatment need: early,37.8,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 7,all,total,dental sealants,present,dental sealants,32.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 7,all,total,dental sealants,present,dental sealants,28.8,,
South Carolina,2008,2008,grade K + 3,region,region 7,all,total,caries,untreated,untreated caries,17.5,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 7,all,total,caries,untreated,untreated caries,12.8,,
South Carolina,2008,2008,grade K + 3,region,region 7,all,total,treatment need,early,treatment need: early,12.4,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 7,all,total,caries,untreated,untreated caries,11.9,,
North Carolina,2017-2018,2018,grade 3,region,Region 7,all,total,caries,untreated,untreated caries,9.8,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 7,all,total,treatment need,urgent,treatment need: urgent,9.2,,
South Carolina,2008,2008,grade K + 3,region,region 7,all,total,treatment need,urgent,treatment need: urgent,4.6,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 7,all,total,treatment need,urgent,treatment need: urgent,3.1,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 7,all,total,dental sealants,present,dental sealants,3,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 7,all,total,dental sealants,present,dental sealants,2.5,,
North Carolina,2017-2018,2018,grade 3,region,Region 7,all,total,treatment need,urgent,treatment need: urgent,2.1,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 7,all,total,treatment need,urgent,treatment need: urgent,2,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 8,all,total,caries,any history,caries experience,70.3,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 8,all,total,caries,untreated,untreated caries,53,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 8,all,total,treatment need,early,treatment need: early,48.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 8,all,total,treatment need,none,treatment need: none,45,,
South Carolina,2008,2008,grade K + 3,region,region 8,all,total,caries,any history,caries experience,44.9,,
North Carolina,2017-2018,2018,grade 3,region,Region 8,all,total,dental sealants,present,dental sealants,39.9,,
South Carolina,2008,2008,grade K + 3,region,region 8,all,total,caries,untreated,untreated caries,28.1,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 8,all,total,dental sealants,present,dental sealants,21.8,,
South Carolina,2008,2008,grade K + 3,region,region 8,all,total,treatment need,early,treatment need: early,20.8,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 8,all,total,caries,untreated,untreated caries,14.9,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 8,all,total,caries,untreated,untreated caries,11.4,,
North Carolina,2017-2018,2018,grade 3,region,Region 8,all,total,caries,untreated,untreated caries,10.3,,
South Carolina,2008,2008,grade K + 3,region,region 8,all,total,treatment need,urgent,treatment need: urgent,8,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 8,all,total,treatment need,urgent,treatment need: urgent,6.6,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 8,all,total,treatment need,urgent,treatment need: urgent,2,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 8,all,total,treatment need,urgent,treatment need: urgent,1.4,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 8,all,total,dental sealants,present,dental sealants,1.3,,
North Carolina,2017-2018,2018,grade 3,region,Region 8,all,total,treatment need,urgent,treatment need: urgent,0.8,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 8,all,total,dental sealants,present,dental sealants,0.5,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 9,all,total,treatment need,none,treatment need: none,72.7,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 9,all,total,caries,any history,caries experience,67.8,,
North Carolina,2017-2018,2018,grade 3,region,Region 9,all,total,dental sealants,present,dental sealants,30.4,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 9,all,total,dental sealants,present,dental sealants,28.6,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 9,all,total,caries,untreated,untreated caries,26,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 9,all,total,treatment need,early,treatment need: early,25.3,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 9,all,total,caries,untreated,untreated caries,21.9,,
North Carolina,2017-2018,2018,grade 3,region,Region 9,all,total,caries,untreated,untreated caries,18.9,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 9,all,total,caries,untreated,untreated caries,17.9,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 9,all,total,dental sealants,present,dental sealants,3.7,,
North Carolina,2017-2018,2018,grade 3,region,Region 9,all,total,treatment need,urgent,treatment need: urgent,3.3,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 9,all,total,treatment need,urgent,treatment need: urgent,2.8,,
Louisiana,2007-2009,2009,grade 3,DHH administrative region,region 9,all,total,treatment need,urgent,treatment need: urgent,2.1,,
North Carolina,2017-2018,2018,Kindergarten,region,Region 9,all,total,dental sealants,present,dental sealants,1.2,,
North Carolina,2016-2017,2017,Kindergarten,region,Region 9,all,total,treatment need,urgent,treatment need: urgent,0.5,,
Oregon,2007,2007,age 6 - 9,region,Rest of Oregon,all,total,caries,any history,caries experience,70,,
Oregon,2007,2007,age 6 - 9,region,Rest of Oregon,all,total,caries,untreated,untreated caries,44,,
Oregon,2007,2007,age 6 - 9,region,Rest of Oregon,all,total,treatment need,urgent,treatment need: urgent,6,,
Ohio,2009-2010,2010,grade 3,county,Richland,all,total,caries,any history,caries experience,64.8,54.89,74.7
Ohio,2004-2005,2005,grade 3,county,Richland,all,total,caries,any history,caries experience,61,49,72.9
Ohio,2004-2005,2005,grade 3,county,Richland,all,total,dental sealants,present,dental sealants,53.8,48.3,59.3
Ohio,2004-2005,2005,grade 3,county,Richland,all,total,treatment need,early or urgent,treatment need: early or urgent,38.5,24.9,52.1
Ohio,2004-2005,2005,grade 3,county,Richland,all,total,caries,untreated,untreated caries,39.1,26.5,51.6
Ohio,2009-2010,2010,grade 3,county,Richland,all,total,dental sealants,present,dental sealants,34.5,27.67,41.37
Ohio,2009-2010,2010,grade 3,county,Richland,all,total,treatment need,early or urgent,treatment need: early or urgent,25.3,14.81,35.87
Ohio,2009-2010,2010,grade 3,county,Richland,all,total,caries,untreated,untreated caries,23.9,14.68,33.21
Louisiana,2007-2009,2009,grade 3,region ,river parishes,all,total,caries,any history,caries experience,62.2,,
Louisiana,2007-2009,2009,grade 3,region ,river parishes,all,total,treatment need,none,treatment need: none,60,,
Louisiana,2007-2009,2009,grade 3,region ,river parishes,all,total,caries,untreated,untreated caries,40.4,,
Louisiana,2007-2009,2009,grade 3,region ,river parishes,all,total,dental sealants,present,dental sealants,35.2,,
Louisiana,2007-2009,2009,grade 3,region ,river parishes,all,total,treatment need,early,treatment need: early,33.3,,
Louisiana,2007-2009,2009,grade 3,region ,river parishes,all,total,treatment need,urgent,treatment need: urgent,6.7,,
Illinois,2013-2014,2014,grade 3,region,Rockford,all,total,caries,any history,caries experience,88.4,87.8,89.1
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,dental sealants,present,dental sealants,61.9,51.9,71.9
Illinois,2013-2014,2014,grade 3,region,Rockford,all,total,dental sealants,present,dental sealants,54.7,39.7,68.8
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,caries,any history,caries experience,46,27.5,64.4
Illinois,2013-2014,2014,grade 3,region,Rockford,all,total,caries,untreated,untreated caries,37.9,28.1,48.8
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,caries,untreated,untreated caries,21,9.7,32.2
Illinois,2013-2014,2014,grade 3,region,Rockford,all,total,treatment need,early or urgent,treatment need: early or urgent,37.2,26.5,53.1
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,treatment need,early or urgent,treatment need: early or urgent,24.1,18.7,29.5
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,treatment need,early,treatment need: early,20.5,15.4,25.5
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,treatment need,urgent,treatment need: urgent,3.7,2.1,5.2
Illinois,2013-2014,2014,grade 3,region,Rockford,all,total,caries,rampant,rampant caries,7.6,4.8,12
Illinois,2018-2019,2019,grade 3,region,Rockford,all,total,caries,rampant,rampant caries,3.7,2.1,5.3
New Hampshire,2008-2009,2009,grade 3,county,Rockingham,all,total,dental sealants,present,dental sealants,63.8,55.6,71.9
New Hampshire,2014,2014,grade 3,county,Rockingham,all,total,dental sealants,present,dental sealants,64,56.5,71.6
New Hampshire,2014,2014,grade 3,county,Rockingham,all,total,caries,any history,caries experience,21.3,13.2,46
New Hampshire,2008-2009,2009,grade 3,county,Rockingham,all,total,caries,any history,caries experience,38.9,32.9,44.9
New Hampshire,2008-2009,2009,grade 3,county,Rockingham,all,total,treatment need,early or urgent,treatment need: early or urgent,10.8,5.9,15.8
New Hampshire,2008-2009,2009,grade 3,county,Rockingham,all,total,caries,untreated,untreated caries,10.8,5.9,15.8
New Hampshire,2014,2014,grade 3,county,Rockingham,all,total,treatment need,early or urgent,treatment need: early or urgent,4.1,2,6.2
New Hampshire,2014,2014,grade 3,county,Rockingham,all,total,caries,untreated,untreated caries,4.1,2,6.2
New Hampshire,2014,2014,grade 3,county,Rockingham,all,total,treatment need,urgent,treatment need: urgent,1.2,0,3.2
New Hampshire,2008-2009,2009,grade 3,county,Rockingham,all,total,treatment need,urgent,treatment need: urgent,1.2,0,2.5
Ohio,2009-2010,2010,grade 3,county,Ross,all,total,caries,any history,caries experience,60,50.59,69.46
Ohio,2004-2005,2005,grade 3,county,Ross,all,total,caries,any history,caries experience,60.5,52.5,68.5
Ohio,2009-2010,2010,grade 3,county,Ross,all,total,dental sealants,present,dental sealants,38.5,24.42,52.6
Ohio,2004-2005,2005,grade 3,county,Ross,all,total,caries,untreated,untreated caries,31.4,12.8,50
Ohio,2004-2005,2005,grade 3,county,Ross,all,total,treatment need,early or urgent,treatment need: early or urgent,30,13.5,46.5
Ohio,2009-2010,2010,grade 3,county,Ross,all,total,treatment need,early or urgent,treatment need: early or urgent,33.4,22.67,45.94
Ohio,2009-2010,2010,grade 3,county,Ross,all,total,caries,untreated,untreated caries,33.4,20.98,45.87
Ohio,2004-2005,2005,grade 3,county,Ross,all,total,dental sealants,present,dental sealants,35.9,30,41.9
Nebraska,2015-2016,2016,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,81.4,78.5,84.2
North Dakota,2009-2010,2010,grade 3,urbanicity,rural,all,total,treatment need,none,treatment need: none,73,69,76.9
Maryland,2000,2000,Head Start,urbanicity,rural,all,total,caries,any history,caries experience,66.4,58,74.8
Montana,2015-2016,2016,Kindergarten,urbanicity,rural,all,total,caries,any history,caries experience,58.1,43.7,72.5
Maryland,2000,2000,Head Start,urbanicity,rural,all,total,caries,untreated,untreated caries,63.9,55.4,72.4
Missouri,2019,2019,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,64.3,57.4,71.2
Nevada,2004,2004,Head Start,urbanicity,rural,all,total,treatment need,none,treatment need: none,62.2,55.4,69
North Dakota,2009-2010,2010,grade 3,urbanicity,rural,all,total,dental sealants,present,dental sealants,64.5,60.1,68.8
North Dakota,2009-2010,2010,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,64.3,60,68.6
Nevada,2007,2007,Head Start,urbanicity,rural,all,total,caries,any history,caries experience,60.5,53.19,67.81
Colorado,2016-2017,2017,grade 3,urbanicity,rural,all,total,dental sealants,present,dental sealants,55.9,45.7,66.1
Illinois,2013-2014,2014,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,59.9,53.8,65.7
Nevada,2007,2007,Head Start,urbanicity,rural,all,total,treatment need,none,treatment need: none,58.2,50.96,65.44
Nebraska,2015-2016,2016,Head Start,urbanicity,rural,all,total,caries,any history,caries experience,55.5,48.5,62.5
Illinois,2018-2019,2019,grade 3,urbanicity,rural,all,total,dental sealants,present,dental sealants,55.6,50.2,61.1
Minnesota,2015,2015,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,56.2,51.5,61
Nevada,2004,2004,Head Start,urbanicity,rural,all,total,caries,any history,caries experience,53.7,47.4,60
Nebraska,2015-2016,2016,grade 3,urbanicity,rural,all,total,caries,untreated,untreated caries,53.3,48,58.5
Illinois,2013-2014,2014,grade 3,urbanicity,rural,all,total,dental sealants,present,dental sealants,46.5,37.2,56.1
Nebraska,2015-2016,2016,grade 3,urbanicity,rural,all,total,dental sealants,present,dental sealants,48.6,42.1,55.2
Illinois,2018-2019,2019,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,44.3,35.1,53.4
Nevada,2007,2007,Head Start,urbanicity,rural,all,total,caries,untreated,untreated caries,42.5,35.09,49.91
New Hampshire,2007-2008,2008,Head Start,urbanicity,rural,all,total,caries,any history,caries experience,43.8,37.7,49.9
Nebraska,2015-2016,2016,Head Start,urbanicity,rural,all,total,caries,untreated,untreated caries,40.6,33.1,48.1
Nevada,2007,2007,Head Start,urbanicity,rural,all,total,treatment need,early,treatment need: early,39.3,32.08,46.52
Colorado,2016-2017,2017,grade 3,urbanicity,rural,all,total,caries,any history,caries experience,36.8,27.2,46.4
Montana,2015-2016,2016,Kindergarten,urbanicity,rural,all,total,caries,untreated,untreated caries,32.3,20.2,44.4
Missouri,2019,2019,grade 3,urbanicity,rural,all,total,caries,untreated,untreated caries,34.2,24.2,44.2
Nevada,2004,2004,Head Start,urbanicity,rural,all,total,caries,untreated,untreated caries,38.4,33,43.8
Missouri,2019,2019,grade 3,urbanicity,rural,all,total,dental sealants,present,dental sealants,35.8,28.5,43.1
