data_id,table_2019_benchmark,table_actual,base_population,ages,ages_min,indicator_specific,indicator_abbr,indicator_short,tooth_location,dentition_set,category,subcategory,years,statistic,estimate_value,estimate_SE,lower_CI,upper_CI
12112,t31,t31,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,sex,female,2011 - 2016,mean,0.3,0.03,0.2412,0.3588
12113,t31,t31,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,sex,female,2011 - 2016,mean,16.9,0.17,16.5668,17.2332
12114,t31,t31,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,sex,female,2011 - 2016,mean,9.8,0.23,9.3492,10.2508
12115,t31,t31,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,sex,female,2011 - 2016,mean,6.8,0.25,6.31,7.29
12116,t32,t32,ages 65+,65+,65,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,sex,female,2011 - 2016,mean,94.6,0.56,93.5024,95.6976
12117,t32,t32,ages 65+,65+,65,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,sex,female,2011 - 2016,mean,5.4,0.56,4.3024,6.4976
12118,t35,t35,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,sex,female,2011 - 2016,percent,16.9,1.31,14.3324,19.4676
12119,t36,t36,ages 65+,65+,65,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,sex,female,2011 - 2016,mean,20.6,0.26,20.0904,21.1096
12120,t29,t29,ages 65+,65+,65,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,sex,female,2011 - 2016,percent,96.3,0.62,95.0848,97.5152
12121,t30,t30,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,sex,female,2011 - 2016,percent,14.2,1.25,11.75,16.65
12122,t31,t31,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,10.1,0.26,9.5904,10.6096
12123,t31,t31,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,0.4,0.04,0.3216,0.4784
12124,t31,t31,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,16.6,0.22,16.1688,17.0312
12125,t31,t31,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,9.7,0.27,9.1708,10.2292
12126,t31,t31,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,6.5,0.28,5.9512,7.0488
12127,t32,t32,ages 65+,65+,65,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,91.7,0.78,90.1712,93.2288
12128,t32,t32,ages 65+,65+,65,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,sex,male,2011 - 2016,mean,8.3,0.78,6.7712,9.8288
12129,t35,t35,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,sex,male,2011 - 2016,percent,17.7,1.51,14.7404,20.6596
12130,t36,t36,ages 65+,65+,65,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,sex,male,2011 - 2016,mean,20.8,0.29,20.2316,21.3684
12131,t29,t29,ages 65+,65+,65,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,sex,male,2011 - 2016,percent,96.1,0.67,94.7868,97.4132
12132,t30,t30,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,sex,male,2011 - 2016,percent,18,1.53,15.0012,20.9988
12133,t31,t63,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,mean,7.44,0.6,6.264,8.616
12134,t31,t63,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,mean,0.95,0.12,0.7148,1.1852
12135,t31,t63,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,mean,19.58,0.59,18.4236,20.7364
12136,t31,t63,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,mean,6.49,0.62,5.2748,7.7052
12137,t31,t63,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,mean,12.14,0.71,10.7484,13.5316
12138,t35,t68,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,smoking history,current smoker,1988 - 1994,percent,51.59,3.32,45.0828,58.0972
12139,t36,t67,ages 65+,65+,65,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,mean,15.46,0.72,14.0488,16.8712
12140,t29,t61,ages 65+,65+,65,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,percent,92.48,1.85,88.854,96.106
12141,t30,t62,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,smoking history,current smoker,1988 - 1994,percent,38.75,4.35,30.224,47.276
12142,t31,t63,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,mean,9.37,0.42,8.5468,10.1932
12143,t31,t63,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,mean,0.61,0.07,0.4728,0.7472
12144,t31,t63,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,mean,19.66,0.2,19.268,20.052
12145,t31,t63,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,mean,8.76,0.45,7.878,9.642
12146,t31,t63,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,mean,10.29,0.41,9.4864,11.0936
12147,t35,t68,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,smoking history,former smoker,1988 - 1994,percent,35.07,2.41,30.3464,39.7936
12148,t36,t67,ages 65+,65+,65,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,mean,17.49,0.42,16.6668,18.3132
12149,t29,t61,ages 65+,65+,65,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,percent,94.94,0.69,93.5876,96.2924
12150,t30,t62,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,smoking history,former smoker,1988 - 1994,percent,27.44,2.04,23.4416,31.4384
12151,t31,t63,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,mean,9.39,0.3,8.802,9.978
12152,t31,t63,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,mean,0.61,0.06,0.4924,0.7276
12153,t31,t63,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,mean,18.56,0.33,17.9132,19.2068
12154,t31,t63,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,mean,8.77,0.33,8.1232,9.4168
12155,t31,t63,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,mean,9.17,0.31,8.5624,9.7776
12156,t35,t68,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,smoking history,never smoked,1988 - 1994,percent,27.99,1.91,24.2464,31.7336
12157,t36,t67,ages 65+,65+,65,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,mean,18.72,0.3,18.132,19.308
12158,t29,t61,ages 65+,65+,65,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,percent,94.57,0.92,92.7668,96.3732
12159,t30,t62,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,smoking history,never smoked,1988 - 1994,percent,25.61,1.81,22.0624,29.1576
11964,t32,t32,ages 65+,65+,65,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),≥ 200% FPL,2011 - 2016,mean,2.8,0.35,2.114,3.486
11965,t35,t35,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,poverty status (3 levels),≥ 200% FPL,2011 - 2016,percent,10.7,1.3,8.152,13.248
11966,t30,t30,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,poverty status (3 levels),≥ 200% FPL,2011 - 2016,percent,9.9,1.27,7.4108,12.3892
11967,t31,t31,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,8.2,0.28,7.6512,8.7488
11968,t31,t31,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,0.6,0.07,0.4628,0.7372
11969,t31,t31,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,17,0.29,16.4316,17.5684
11970,t31,t31,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,7.6,0.29,7.0316,8.1684
11971,t31,t31,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,8.8,0.39,8.0356,9.5644
11972,t32,t32,ages 65+,65+,65,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,87.4,1.36,84.7344,90.0656
11973,t32,t32,ages 65+,65+,65,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,12.6,1.36,9.9344,15.2656
11974,t35,t35,ages 65+,65+,65,percentage who have lost all natural teeth,edentulism,prevalence of edentulism,,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,percent,26.1,2.27,21.6508,30.5492
11975,t36,t36,ages 65+,65+,65,mean number of teeth among adults with teeth,teeth,# teeth if have teeth,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,18.3,0.38,17.5552,19.0448
11976,t29,t29,ages 65+,65+,65,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,percent,94,0.99,92.0596,95.9404
11977,t30,t30,ages 65+,65+,65,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,percent,26.9,2.64,21.7256,32.0744
11651,t31,t63,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,all,total,1988 - 1994,mean,9.19,0.3,8.602,9.778
11660,t31,t31,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,9.1,0.21,8.6884,9.5116
11671,t31,t31,ages 65+,65+,65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth",DFT,# DFT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,10.1,0.2,9.708,10.492
11653,t31,t63,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,all,total,1988 - 1994,mean,19.11,0.24,18.6396,19.5804
11662,t31,t31,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,18,0.23,17.5492,18.4508
11673,t31,t31,ages 65+,65+,65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,16.7,0.14,16.4256,16.9744
11652,t31,t63,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,all,total,1988 - 1994,mean,0.65,0.05,0.552,0.748
11661,t31,t31,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,0.4,0.04,0.3216,0.4784
11672,t31,t31,ages 65+,65+,65,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,0.3,0.03,0.2412,0.3588
11654,t31,t63,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,all,total,1988 - 1994,mean,8.54,0.34,7.8736,9.2064
11663,t31,t31,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,8.7,0.23,8.2492,9.1508
11674,t31,t31,ages 65+,65+,65,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,9.8,0.21,9.3884,10.2116
11655,t31,t63,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,all,total,1988 - 1994,mean,9.92,0.26,9.4104,10.4296
11664,t31,t31,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,8.8,0.23,8.3492,9.2508
11675,t31,t31,ages 65+,65+,65,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,6.6,0.21,6.1884,7.0116
11210,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,all,total,1999 - 2004,mean,,,,
11228,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,all,total,2011 - 2016,mean,0.1,0.02,0.0608,0.1392
11212,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,all,total,1999 - 2004,mean,1.9,0.06,1.7824,2.0176
11230,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,all,total,2011 - 2016,mean,1.9,0.08,1.7432,2.0568
11211,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,all,total,1999 - 2004,mean,1.8,0.06,1.6824,1.9176
11229,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,all,total,2011 - 2016,mean,1.9,0.08,1.7432,2.0568
11215,t11,t11,ages 6-11,6-11,6,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,1.9,0.05,1.802,1.998
11233,t11,t11,ages 6-11,6-11,6,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,2.1,0.07,1.9628,2.2372
11213,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled premolars of those with decayed, filled, or missing teeth",DMFT,# DMFT premolars of those with DMFT ,premolars,permanent teeth,all,total,1999 - 2004,mean,,,,
11231,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled premolars of those with decayed, filled, or missing teeth",DMFT,# DMFT premolars of those with DMFT ,premolars,permanent teeth,all,total,2011 - 2016,mean,0.1,0.01,0.0804,0.1196
11214,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled secondary molars of those with decayed, filled, or missing teeth",DMFT,# DMFT secondary molars of those with DMFT,secondary molars,permanent teeth,all,total,1999 - 2004,mean,0,0.01,0,0.0196
11232,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled secondary molars of those with decayed, filled, or missing teeth",DMFT,# DMFT secondary molars of those with DMFT,secondary molars,permanent teeth,all,total,2011 - 2016,mean,0,0,,
11209,t11,t11,ages 6-11,6-11,6,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,0.6,0.07,0.4628,0.7372
11227,t11,t11,ages 6-11,6-11,6,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,0.5,0.04,0.4216,0.5784
11216,t11,t11,ages 6-11,6-11,6,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,1.3,0.08,1.1432,1.4568
11234,t11,t11,ages 6-11,6-11,6,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,1.6,0.07,1.4628,1.7372
11217,t11,t11,ages 6-11,6-11,6,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,all,total,1999 - 2004,mean,,,,
11235,t11,t11,ages 6-11,6-11,6,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,all,total,2011 - 2016,mean,,,,
11291,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,poverty status (3 levels),< 100% FPL,2011 - 2016,mean,,,,
11297,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,0,0.01,0,0.0196
11315,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,,,,
11332,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,,,,
11293,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,poverty status (3 levels),< 100% FPL,2011 - 2016,mean,1.9,0.09,1.7236,2.0764
11299,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,1.9,0.08,1.7432,2.0568
11317,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,,,,
11334,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,2,0.11,1.7844,2.2156
11292,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,poverty status (3 levels),< 100% FPL,2011 - 2016,mean,1.9,0.09,1.7236,2.0764
11298,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,1.9,0.08,1.7432,2.0568
11316,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,,,,
11333,t13,t13,ages 6-11,6-11,6,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,poverty status (3 levels),100% -- 199% FPL,2011 - 2016,mean,1.9,0.1,1.704,2.096
11296,t11,t11,ages 6-11,6-11,6,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,0.6,0.06,0.4824,0.7176
11302,t11,t11,ages 6-11,6-11,6,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,2.2,0.07,2.0628,2.3372
11320,t11,t11,ages 6-11,6-11,6,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth",DMFT,# DMFT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,2,0.11,1.7844,2.2156
11303,t11,t11,ages 6-11,6-11,6,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,1.6,0.08,1.4432,1.7568
11304,t11,t11,ages 6-11,6-11,6,"mean number of missing teeth of those with decayed, filled, or missing teeth",MT,# MT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,,,,
11305,t21,t21,ages 6-11,6-11,6,mean number of sealed first molars of those with dental sealants,sealed,# sealed first molars if have sealants,first molars,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,3.2,0.05,3.102,3.298
11306,t21,t21,ages 6-11,6-11,6,mean number of sealed premolars of those with dental sealants,sealed,# sealed premolars if have sealants,premolars,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,0.4,0.07,0.2628,0.5372
11307,t21,t21,ages 6-11,6-11,6,mean number of sealed secondary molars of those with dental sealants,sealed,# sealed secondary molars if have sealants,secondary molars,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,0.7,0.12,0.4648,0.9352
11308,t20,t20,ages 6-11,6-11,6,mean number of teeth with dental sealants of those with dental dental sealants,sealants,# sealants if have sealant,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,3.6,0.08,3.4432,3.7568
11309,t09,t09,ages 6-11,6-11,6,prevalence of dental caries,caries,prevalance of caries,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,percent,22,1.34,19.3736,24.6264
11310,t19,t19,ages 6-11,6-11,6,prevalence of dental sealants,sealants,prevalence of sealants,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,percent,38.9,1.78,35.4112,42.3888
11311,t10,t10,ages 6-11,6-11,6,prevalence of untreatedd tooth decay,untreated caries,prevalance of untreated caries,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,percent,6.9,0.71,5.5084,8.2916
11312,t12,t12,ages 6-11,6-11,6,"mean percentage contribution of decayed teeth of those with decayed, filled or missing teeth",DT,% DT/DMFT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,29.3,3.36,22.7144,35.8856
11313,t12,t12,ages 6-11,6-11,6,"mean percentage contribution of filled teeth of those with decayed, filled or missing teeth",FT,% FT/DMFT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),< 200% FPL,2011 - 2016,mean,69,3.32,62.4928,75.5072
11314,t11,t11,ages 6-11,6-11,6,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,poverty status (2 levels),≥ 200% FPL,2011 - 2016,mean,0.5,0.11,0.2844,0.7156
