"data_id","table_2019_benchmark","table_actual","base_population","ages","ages_min","indicator_specific","indicator_abbr","indicator_short","tooth_location","dentition_set","category","subcategory","years","statistic","confidence_level","confidence_value","order"
11774,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","education","high school","1988 - 1994","percent","upper_CI",28.7808,99464
11885,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",4.9208,537
11885,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",6.9592,99462
11886,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",1.1692,539
11886,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",2.0708,99460
11887,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",17.2552,541
11887,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",19.7248,99458
11888,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",3.2128,543
11888,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",5.4472,99456
11889,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",10.9624,545
11889,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",14.1376,99454
11890,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","lower_CI",13.782,547
11890,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","mean","upper_CI",16.918,99452
11891,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","lower_CI",78.514,549
11891,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","upper_CI",89.686,99450
11892,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","lower_CI",39.034,551
11892,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","upper_CI",54.126,99448
11893,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","lower_CI",39.9736,553
11893,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","poverty status (3 levels)","< 100% FPL","1988 - 1994","percent","upper_CI",52.0864,99446
11894,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",9.9224,555
11894,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",11.1376,99444
11895,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",0.3016,557
11895,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",0.4584,99442
11896,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",18.8888,559
11896,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",19.7512,99440
11897,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",9.5032,561
11897,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",10.7968,99438
11898,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",8.2608,563
11898,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",9.3192,99436
11899,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","lower_CI",18.4612,565
11899,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","mean","upper_CI",19.5588,99434
11900,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","lower_CI",95.6696,567
11900,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","upper_CI",97.5904,99432
11901,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","lower_CI",17.8864,569
11901,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","upper_CI",24.3936,99430
11902,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","lower_CI",20.666,571
11902,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","poverty status (3 levels)","= 200% FPL","1988 - 1994","percent","upper_CI",28.114,99428
11903,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",6.3636,573
11903,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",7.6964,99426
11904,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",0.8132,575
11904,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",1.1268,99424
11905,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",17.8968,577
11905,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",19.5432,99422
11906,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",5.3544,579
11906,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",6.7656,99420
11907,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",10.9648,581
11907,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",12.4152,99418
11908,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","lower_CI",41.2588,583
11908,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","upper_CI",48.9812,99416
11909,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","lower_CI",15.4044,585
11909,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","mean","upper_CI",16.8156,99414
11910,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","lower_CI",90.6356,587
11910,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","upper_CI",96.0844,99412
11911,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","lower_CI",32.2196,589
11911,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","poverty status (3 levels)","100% -- 199% FPL","1988 - 1994","percent","upper_CI",41.9804,99410
11978,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",3.8472,591
11978,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",4.5528,99408
11979,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",1.2592,593
11979,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",2.1608,99406
11980,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",16.0932,595
11980,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",17.3868,99404
11981,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",2.0684,597
11981,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",2.8916,99402
11982,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",11.8248,599
11982,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",13.2752,99400
11983,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","lower_CI",33.5824,601
11983,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","upper_CI",42.6376,99398
11984,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","lower_CI",14.5648,603
11984,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","mean","upper_CI",16.0152,99396
11985,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","lower_CI",77.1816,605
11985,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","upper_CI",88.1184,99394
11986,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","lower_CI",46.55,607
11986,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Black, non-Hispanic","1988 - 1994","percent","upper_CI",61.25,99392
11987,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",4.7244,609
11987,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",6.1356,99390
11988,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",1.2676,611
11988,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",2.0124,99388
11989,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",15.102,613
11989,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",16.278,99386
11990,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",3.1532,615
11990,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",4.4468,99384
11991,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",9.3976,617
11991,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",11.1224,99382
11992,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","lower_CI",22.0828,619
11992,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","upper_CI",32.1572,99380
11993,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","lower_CI",16.658,621
11993,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","mean","upper_CI",18.422,99378
11994,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","lower_CI",83.548,623
11994,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","upper_CI",91.192,99376
11995,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","lower_CI",41.7012,625
11995,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","Mexican American","1988 - 1994","percent","upper_CI",56.5188,99374
11996,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",9.2528,627
11996,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",10.5072,99372
11997,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",0.442,629
11997,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",0.638,99370
11998,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",18.9604,631
11998,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",19.9796,99368
11999,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",8.664,633
11999,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",10.036,99366
12000,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",9.0804,635
12000,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",10.0996,99364
12001,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","lower_CI",29.8372,637
12001,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","upper_CI",37.4028,99362
12002,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","lower_CI",17.7104,639
12002,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","mean","upper_CI",18.7296,99360
12003,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","lower_CI",94.7336,641
12003,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","upper_CI",97.0464,99358
12004,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","lower_CI",22.0412,643
12004,"t30","t62","ages 65+","65+",65,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","race and ethnicity","White, non-Hispanic","1988 - 1994","percent","upper_CI",28.0388,99356
12071,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",8.6116,645
12071,"t31","t63","ages 65+","65+",65,"mean number of decayed or filled teeth of those with decayed, filled, or missing teeth","DFT","# DFT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",9.7484,99354
12072,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",0.4224,647
12072,"t31","t63","ages 65+","65+",65,"mean number of decayed teeth of those with decayed, filled, or missing teeth","DT","# DT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",0.6576,99352
12073,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",18.7116,649
12073,"t31","t63","ages 65+","65+",65,"mean number of decayed, missing, or filled teeth of those with decayed, filled, or missing teeth","DMFT","# DMFT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",19.8484,99350
12074,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",8.0324,651
12074,"t31","t63","ages 65+","65+",65,"mean number of filled teeth of those with decayed, filled, or missing teeth","FT","# FT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",9.2476,99348
12075,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",9.5412,653
12075,"t31","t63","ages 65+","65+",65,"mean number of missing teeth of those with decayed, filled, or missing teeth","MT","# MT if have DMFT","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",10.6388,99346
12076,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","sex","female","1988 - 1994","percent","lower_CI",29.8576,655
12076,"t35","t68","ages 65+","65+",65,"percentage who have lost all natural teeth","edentulism","prevalence of edentulism",NA,"permanent teeth","sex","female","1988 - 1994","percent","upper_CI",37.4624,99344
12077,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","sex","female","1988 - 1994","mean","lower_CI",17.2308,657
12077,"t36","t67","ages 65+","65+",65,"mean number of teeth among adults with teeth","teeth","# teeth if have teeth","any teeth","permanent teeth","sex","female","1988 - 1994","mean","upper_CI",18.2892,99342
12078,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","sex","female","1988 - 1994","percent","lower_CI",92.5456,659
12078,"t29","t61","ages 65+","65+",65,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","sex","female","1988 - 1994","percent","upper_CI",96.0344,99340
