code,code_dot,Any,description,notes
S01521A,S01.521A,x,"Laceration with foreign body of lip, initial encounter",
S01521D,S01.521D,x,"Laceration with foreign body of lip, subsequent encounter",
S01521S,S01.521S,x,"Laceration with foreign body of lip, sequela",
S01522,S01.522,x,Laceration with foreign body of oral cavity,
S01522A,S01.522A,x,"Laceration with foreign body of oral cavity, initial encounter",
S01522D,S01.522D,x,"Laceration with foreign body of oral cavity, subsequent encounter",
S01522S,S01.522S,x,"Laceration with foreign body of oral cavity, sequela",
S0153,S01.53,x,Puncture wound of lip and oral cavity without foreign body,
S01531,S01.531,x,Puncture wound without foreign body of lip,
S01531A,S01.531A,x,"Puncture wound without foreign body of lip, initial encounter",
S01531D,S01.531D,x,"Puncture wound without foreign body of lip, subsequent encounter",
S01531S,S01.531S,x,"Puncture wound without foreign body of lip, sequela",
S01532,S01.532,x,Puncture wound without foreign body of oral cavity,
S01532A,S01.532A,x,"Puncture wound without foreign body of oral cavity, initial encounter",
S01532D,S01.532D,x,"Puncture wound without foreign body of oral cavity, subsequent encounter",
S01532S,S01.532S,x,"Puncture wound without foreign body of oral cavity, sequela",
S0154,S01.54,x,Puncture wound of lip and oral cavity with foreign body,
S01541,S01.541,x,Puncture wound with foreign body of lip,
S01541A,S01.541A,x,"Puncture wound with foreign body of lip, initial encounter",
S01541D,S01.541D,x,"Puncture wound with foreign body of lip, subsequent encounter",
S01541S,S01.541S,x,"Puncture wound with foreign body of lip, sequela",
S01542,S01.542,x,Puncture wound with foreign body of oral cavity,
S01542A,S01.542A,x,"Puncture wound with foreign body of oral cavity, initial encounter",
S01542D,S01.542D,x,"Puncture wound with foreign body of oral cavity, subsequent encounter",
S01542S,S01.542S,x,"Puncture wound with foreign body of oral cavity, sequela",
S0155,S01.55,x,Open bite of lip and oral cavity,
S01551,S01.551,x,Open bite of lip,
S01551A,S01.551A,x,"Open bite of lip, initial encounter",
S01551D,S01.551D,x,"Open bite of lip, subsequent encounter",
S01551S,S01.551S,x,"Open bite of lip, sequela",
S01552,S01.552,x,Open bite of oral cavity,
S01552A,S01.552A,x,"Open bite of oral cavity, initial encounter",
S01552D,S01.552D,x,"Open bite of oral cavity, subsequent encounter",
S01552S,S01.552S,x,"Open bite of oral cavity, sequela",
S018,S0.18,x,Open wound of other parts of head,
S0180,S0.180,x,Unspecified open wound of other part of head,
S0180XA,S01.80XA,x,"Unspecified open wound of other part of head, initial encounter",
S0180XD,S01.80XD,x,"Unspecified open wound of other part of head, subsequent encounter",
S0180XS,S01.80XS,x,"Unspecified open wound of other part of head, sequela",
S0181,S01.81,x,Laceration without foreign body of other part of head,
S0181XA,S01.81XA,x,"Laceration without foreign body of other part of head, initial encounter",
S0181XD,S01.81XD,x,"Laceration without foreign body of other part of head, subsequent encounter",
S0181XS,S01.81XS,x,"Laceration without foreign body of other part of head, sequela",
S0182,S01.82,x,Laceration with foreign body of other part of head,
S0182XA,S01.82XA,x,"Laceration with foreign body of other part of head, initial encounter",
S0182XD,S01.82XD,x,"Laceration with foreign body of other part of head, subsequent encounter",
S0182XS,S01.82XS,x,"Laceration with foreign body of other part of head, sequela",
S019,S01.9,x,Open wound of unspecified part of head,
S0190,S01.90,x,Unspecified open wound of unspecified part of head,
S0190XA,S01.90XA,x,"Unspecified open wound of unspecified part of head, initial encounter",
S0190XD,S01.90XD,x,"Unspecified open wound of unspecified part of head, subsequent encounter",
S0190XS,S01.90XS,x,"Unspecified open wound of unspecified part of head, sequela",
S0191,S01.91,x,Laceration without foreign body of unspecified part of head,
S0191XA,S01.91XA,x,"Laceration without foreign body of unspecified part of head, initial encounter",
S0191XD,S01.91XD,x,"Laceration without foreign body of unspecified part of head, subsequent encounter",
S0191XS,S01.91XS,x,"Laceration without foreign body of unspecified part of head, sequela",
S0192,S01.92,x,Laceration with foreign body of unspecified part of head,
S0192XA,S01.92XA,x,"Laceration with foreign body of unspecified part of head, initial encounter",
S0192XD,S01.92XD,x,"Laceration with foreign body of unspecified part of head, subsequent encounter",
S0192XS,S01.92XS,x,"Laceration with foreign body of unspecified part of head, sequela",
S0240C,S02.40C,x,"Maxillary fracture, right side",added 2017
S0240CA,S02.40CA,x,"Maxillary fracture, right side, initial encounter for closed fracture",added 2017
S0240CB,S02.40CB,x,"Maxillary fracture, right side, initial encounter for open fracture",added 2017
S0240CD,S02.40CD,x,"Maxillary fracture, right side, subsequent encounter for fracture with routine healing",added 2017
S0240CG,S02.40CG,x,"Maxillary fracture, right side, subsequent encounter for fracture with delayed healing",added 2017
S0240CK,S02.40CK,x,"Maxillary fracture, right side, subsequent encounter for fracture with nonunion",added 2017
S0240CS,S02.40CS,x,"Maxillary fracture, right side, sequela",added 2017
S0240D,S02.40D,x,"Maxillary fracture, left side",added 2017
S0240DA,S02.40DA,x,"Maxillary fracture, left side, initial encounter for closed fracture",added 2017
S0240DB,S02.40DB,x,"Maxillary fracture, left side, initial encounter for open fracture",added 2017
S0240DD,S02.40DD,x,"Maxillary fracture, left side, subsequent encounter for fracture with routine healing",added 2017
S0240DG,S02.40DG,x,"Maxillary fracture, left side, subsequent encounter for fracture with delayed healing",added 2017
S0240DK,S02.40DK,x,"Maxillary fracture, left side, subsequent encounter for fracture with nonunion",added 2017
S0240DS,S02.40DS,x,"Maxillary fracture, left side, sequela",added 2017
S02401,S02.401,x,"Maxillary fracture, unspecified",
S02401A,S02.401A,x,"Maxillary fracture, unspecified, initial encounter for closed fracture",
S02401B,S02.401B,x,"Maxillary fracture, unspecified, initial encounter for open fracture",
S02401D,S02.401D,x,"Maxillary fracture, unspecified, subsequent encounter for fracture with routine healing",
S02401G,S02.401G,x,"Maxillary fracture, unspecified, subsequent encounter for fracture with delayed healing",
S02401K,S02.401K,x,"Maxillary fracture, unspecified, subsequent encounter for fracture with nonunion",
S02401S,S02.401S,x,"Maxillary fracture, unspecified, sequela",
S0242,S02.42,x,Fracture of alveolus of maxilla,
S0242XA,S02.42XA,x,"Fracture of alveolus of maxilla, initial encounter for closed fracture",
S0242XB,S02.42XB,x,"Fracture of alveolus of maxilla, initial encounter for open fracture",
S0242XD,S02.42XD,x,"Fracture of alveolus of maxilla, subsequent encounter for fracture with routine healing",
S0242XG,S02.42XG,x,"Fracture of alveolus of maxilla, subsequent encounter for fracture with delayed healing",
S0242XK,S02.42XK,x,"Fracture of alveolus of maxilla, subsequent encounter for fracture with nonunion",
S0242XS,S02.42XS,x,"Fracture of alveolus of maxilla, sequela",
S025,S02.5,x,Fracture of tooth (traumatic),
S025XXA,S02.5XXA,x,"Fracture of tooth (traumatic), initial encounter for closed fracture",
S025XXB,S02.5XXB,x,"Fracture of tooth (traumatic), initial encounter for open fracture",
S025XXD,S02.5XXD,x,"Fracture of tooth (traumatic), subsequent encounter for fracture with routine healing",
S025XXG,S02.5XXG,x,"Fracture of tooth (traumatic), subsequent encounter for fracture with delayed healing",
S025XXK,S02.5XXK,x,"Fracture of tooth (traumatic), subsequent encounter for fracture with nonunion",
S025XXS,S02.5XXS,x,"Fracture of tooth (traumatic), sequela",
S026,S02.6,x,Fracture of mandible,
S0260,S02.60,x,"Fracture of mandible, unspecified",
S02600,S02.600,x,Fracture of unspecified part of body of mandible,
S02600A,S02.600A,x,"Fracture of unspecified part of body of mandible, initial encounter for closed fracture",
S02600B,S02.600B,x,"Fracture of unspecified part of body of mandible, initial encounter for open fracture",
S02600D,S02.600D,x,"Fracture of unspecified part of body of mandible, subsequent encounter for fracture with routine healing",
S02600G,S02.600G,x,"Fracture of unspecified part of body of mandible, subsequent encounter for fracture with delayed healing",
S02600K,S02.600K,x,"Fracture of unspecified part of body of mandible, subsequent encounter for fracture with nonunion",
S02600S,S02.600S,x,"Fracture of unspecified part of body of mandible, sequela",
S02601,S02.601,x,Fracture of unspecified part of body of right mandible,added 2017
S02601A,S02.601A,x,"Fracture of unspecified part of body of right mandible, initial encounter for closed fracture",added 2017
S02601B,S02.601B,x,"Fracture of unspecified part of body of right mandible, initial encounter for open fracture",added 2017
S02601D,S02.601D,x,"Fracture of unspecified part of body of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02601G,S02.601G,x,"Fracture of unspecified part of body of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02601K,S02.601K,x,"Fracture of unspecified part of body of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02601S,S02.601S,x,"Fracture of unspecified part of body of right mandible, sequela",added 2017
S02602,S02.602,x,Fracture of unspecified part of body of left mandible,added 2017
S02602A,S02.602A,x,"Fracture of unspecified part of body of left mandible, initial encounter for closed fracture",added 2017
S02602B,S02.602B,x,"Fracture of unspecified part of body of left mandible, initial encounter for open fracture",added 2017
S02602D,S02.602D,x,"Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02602G,S02.602G,x,"Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02602K,S02.602K,x,"Fracture of unspecified part of body of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02602S,S02.602S,x,"Fracture of unspecified part of body of left mandible, sequela",added 2017
S02609,S02.609,x,"Fracture of mandible, unspecified",
S02609A,S02.609A,x,"Fracture of mandible, unspecified, initial encounter for closed fracture",
S02609B,S02.609B,x,"Fracture of mandible, unspecified, initial encounter for open fracture",
S02609D,S02.609D,x,"Fracture of mandible, unspecified, subsequent encounter for fracture with routine healing",
S02609G,S02.609G,x,"Fracture of mandible, unspecified, subsequent encounter for fracture with delayed healing",
S02609K,S02.609K,x,"Fracture of mandible, unspecified, subsequent encounter for fracture with nonunion",
S02609S,S02.609S,x,"Fracture of mandible, unspecified, sequela",
S0261,S02.61,x,Fracture of condylar process of mandible,
S0261XA,S02.61XA,x,"Fracture of condylar process of mandible, initial encounter for closed fracture",
S0261XB,S02.61XB,x,"Fracture of condylar process of mandible, initial encounter for open fracture",
S0261XD,S02.61XD,x,"Fracture of condylar process of mandible, subsequent encounter for fracture with routine healing",
S0261XG,S02.61XG,x,"Fracture of condylar process of mandible, subsequent encounter for fracture with delayed healing",
S0261XK,S02.61XK,x,"Fracture of condylar process of mandible, subsequent encounter for fracture with nonunion",
S0261XS,S02.61XS,x,"Fracture of condylar process of mandible, sequela",
S02610,S02.610,x,"Fracture of condylar process of mandible, unspecified side",added 2017
S02610A,S02.610A,x,"Fracture of condylar process of mandible, unspecified side, initial encounter for closed fracture",added 2017
S02610B,S02.610B,x,"Fracture of condylar process of mandible, unspecified side, initial encounter for open fracture",added 2017
S02610D,S02.610D,x,"Fracture of condylar process of mandible, unspecified side, subsequent encounter for fracture with routine healing",added 2017
S02610G,S02.610G,x,"Fracture of condylar process of mandible, unspecified side, subsequent encounter for fracture with delayed healing",added 2017
S02610K,S02.610K,x,"Fracture of condylar process of mandible, unspecified side, subsequent encounter for fracture with nonunion",added 2017
S02610S,S02.610S,x,"Fracture of condylar process of mandible, unspecified side, sequela",added 2017
S02611,S02.611,x,Fracture of condylar process of right mandible,added 2017
S02611A,S02.611A,x,"Fracture of condylar process of right mandible, initial encounter for closed fracture",added 2017
S02611B,S02.611B,x,"Fracture of condylar process of right mandible, initial encounter for open fracture",added 2017
S02611D,S02.611D,x,"Fracture of condylar process of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02611G,S02.611G,x,"Fracture of condylar process of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02611K,S02.611K,x,"Fracture of condylar process of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02611S,S02.611S,x,"Fracture of condylar process of right mandible, sequela",added 2017
S02612,S02.612,x,Fracture of condylar process of left mandible,added 2017
S02612A,S02.612A,x,"Fracture of condylar process of left mandible, initial encounter for closed fracture",added 2017
S02612B,S02.612B,x,"Fracture of condylar process of left mandible, initial encounter for open fracture",added 2017
S02612D,S02.612D,x,"Fracture of condylar process of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02612G,S02.612G,x,"Fracture of condylar process of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02612K,S02.612K,x,"Fracture of condylar process of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02612S,S02.612S,x,"Fracture of condylar process of left mandible, sequela",added 2017
S0262,S02.62,x,Fracture of subcondylar process of mandible,
S0262XA,S02.62XA,x,"Fracture of subcondylar process of mandible, initial encounter for closed fracture",
S0262XB,S02.62XB,x,"Fracture of subcondylar process of mandible, initial encounter for open fracture",
S0262XD,S02.62XD,x,"Fracture of subcondylar process of mandible, subsequent encounter for fracture with routine healing",
S0262XG,S02.62XG,x,"Fracture of subcondylar process of mandible, subsequent encounter for fracture with delayed healing",
S0262XK,S02.62XK,x,"Fracture of subcondylar process of mandible, subsequent encounter for fracture with nonunion",
S0262XS,S02.62XS,x,"Fracture of subcondylar process of mandible, sequela",
S02620,S02.620,x,"Fracture of subcondylar process of mandible, unspecified side",added 2017
S02620A,S02.620A,x,"Fracture of subcondylar process of mandible, unspecified side, initial encounter for closed fracture",added 2017
S02620B,S02.620B,x,"Fracture of subcondylar process of mandible, unspecified side, initial encounter for open fracture",added 2017
S02620D,S02.620D,x,"Fracture of subcondylar process of mandible, unspecified side, subsequent encounter for fracture with routine healing",added 2017
S02620G,S02.620G,x,"Fracture of subcondylar process of mandible, unspecified side, subsequent encounter for fracture with delayed healing",added 2017
S02620K,S02.620K,x,"Fracture of subcondylar process of mandible, unspecified side, subsequent encounter for fracture with nonunion",added 2017
S02620S,S02.620S,x,"Fracture of subcondylar process of mandible, unspecified side, sequela",added 2017
S02621,S02.621,x,Fracture of subcondylar process of right mandible,added 2017
S02621A,S02.621A,x,"Fracture of subcondylar process of right mandible, initial encounter for closed fracture",added 2017
S02621B,S02.621B,x,"Fracture of subcondylar process of right mandible, initial encounter for open fracture",added 2017
S02621D,S02.621D,x,"Fracture of subcondylar process of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02621G,S02.621G,x,"Fracture of subcondylar process of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02621K,S02.621K,x,"Fracture of subcondylar process of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02621S,S02.621S,x,"Fracture of subcondylar process of right mandible, sequela",added 2017
S02622,S02.622,x,Fracture of subcondylar process of left mandible,added 2017
S02622A,S02.622A,x,"Fracture of subcondylar process of left mandible, initial encounter for closed fracture",added 2017
S02622B,S02.622B,x,"Fracture of subcondylar process of left mandible, initial encounter for open fracture",added 2017
S02622D,S02.622D,x,"Fracture of subcondylar process of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02622G,S02.622G,x,"Fracture of subcondylar process of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02622K,S02.622K,x,"Fracture of subcondylar process of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02622S,S02.622S,x,"Fracture of subcondylar process of left mandible, sequela",added 2017
S0263,S02.63,x,Fracture of coronoid process of mandible,
S0263XA,S02.63XA,x,"Fracture of coronoid process of mandible, initial encounter for closed fracture",
S0263XB,S02.63XB,x,"Fracture of coronoid process of mandible, initial encounter for open fracture",
S0263XD,S02.63XD,x,"Fracture of coronoid process of mandible, subsequent encounter for fracture with routine healing",
S0263XG,S02.63XG,x,"Fracture of coronoid process of mandible, subsequent encounter for fracture with delayed healing",
S0263XK,S02.63XK,x,"Fracture of coronoid process of mandible, subsequent encounter for fracture with nonunion",
S0263XS,S02.63XS,x,"Fracture of coronoid process of mandible, sequela",
S02630,S02.630,x,"Fracture of coronoid process of mandible, unspecified side",added 2017
S02630A,S02.630A,x,"Fracture of coronoid process of mandible, unspecified side, initial encounter for closed fracture",added 2017
S02630B,S02.630B,x,"Fracture of coronoid process of mandible, unspecified side, initial encounter for open fracture",added 2017
S02630D,S02.630D,x,"Fracture of coronoid process of mandible, unspecified side, subsequent encounter for fracture with routine healing",added 2017
S02630G,S02.630G,x,"Fracture of coronoid process of mandible, unspecified side, subsequent encounter for fracture with delayed healing",added 2017
S02630K,S02.630K,x,"Fracture of coronoid process of mandible, unspecified side, subsequent encounter for fracture with nonunion",added 2017
S02630S,S02.630S,x,"Fracture of coronoid process of mandible, unspecified side, sequela",added 2017
S02631,S02.631,x,Fracture of coronoid process of right mandible,added 2017
S02631A,S02.631A,x,"Fracture of coronoid process of right mandible, initial encounter for closed fracture",added 2017
S02631B,S02.631B,x,"Fracture of coronoid process of right mandible, initial encounter for open fracture",added 2017
S02631D,S02.631D,x,"Fracture of coronoid process of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02631G,S02.631G,x,"Fracture of coronoid process of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02631K,S02.631K,x,"Fracture of coronoid process of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02631S,S02.631S,x,"Fracture of coronoid process of right mandible, sequela",added 2017
S02632,S02.632,x,Fracture of coronoid process of left mandible,added 2017
S02632A,S02.632A,x,"Fracture of coronoid process of left mandible, initial encounter for closed fracture",added 2017
S02632B,S02.632B,x,"Fracture of coronoid process of left mandible, initial encounter for open fracture",added 2017
S02632D,S02.632D,x,"Fracture of coronoid process of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02632G,S02.632G,x,"Fracture of coronoid process of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02632K,S02.632K,x,"Fracture of coronoid process of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02632S,S02.632S,x,"Fracture of coronoid process of left mandible, sequela",added 2017
S0264,S02.64,x,Fracture of ramus of mandible,
S0264XA,S02.64XA,x,"Fracture of ramus of mandible, initial encounter for closed fracture",
S0264XB,S02.64XB,x,"Fracture of ramus of mandible, initial encounter for open fracture",
S0264XD,S02.64XD,x,"Fracture of ramus of mandible, subsequent encounter for fracture with routine healing",
S0264XG,S02.64XG,x,"Fracture of ramus of mandible, subsequent encounter for fracture with delayed healing",
S0264XK,S02.64XK,x,"Fracture of ramus of mandible, subsequent encounter for fracture with nonunion",
S0264XS,S02.64XS,x,"Fracture of ramus of mandible, sequela",
S02640,S02.640,x,"Fracture of ramus of mandible, unspecified side",added 2017
S02640A,S02.640A,x,"Fracture of ramus of mandible, unspecified side, initial encounter for closed fracture",added 2017
S02640B,S02.640B,x,"Fracture of ramus of mandible, unspecified side, initial encounter for open fracture",added 2017
S02640D,S02.640D,x,"Fracture of ramus of mandible, unspecified side, subsequent encounter for fracture with routine healing",added 2017
S02640G,S02.640G,x,"Fracture of ramus of mandible, unspecified side, subsequent encounter for fracture with delayed healing",added 2017
S02640K,S02.640K,x,"Fracture of ramus of mandible, unspecified side, subsequent encounter for fracture with nonunion",added 2017
S02640S,S02.640S,x,"Fracture of ramus of mandible, unspecified side, sequela",added 2017
S02641,S02.641,x,Fracture of ramus of right mandible,added 2017
S02641A,S02.641A,x,"Fracture of ramus of right mandible, initial encounter for closed fracture",added 2017
S02641B,S02.641B,x,"Fracture of ramus of right mandible, initial encounter for open fracture",added 2017
S02641D,S02.641D,x,"Fracture of ramus of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02641G,S02.641G,x,"Fracture of ramus of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02641K,S02.641K,x,"Fracture of ramus of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02641S,S02.641S,x,"Fracture of ramus of right mandible, sequela",added 2017
S02642,S02.642,x,Fracture of ramus of left mandible,added 2017
S02642A,S02.642A,x,"Fracture of ramus of left mandible, initial encounter for closed fracture",added 2017
S02642B,S02.642B,x,"Fracture of ramus of left mandible, initial encounter for open fracture",added 2017
S02642D,S02.642D,x,"Fracture of ramus of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02642G,S02.642G,x,"Fracture of ramus of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02642K,S02.642K,x,"Fracture of ramus of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02642S,S02.642S,x,"Fracture of ramus of left mandible, sequela",added 2017
S0265,S02.65,x,Fracture of angle of mandible,
S0265XA,S02.65XA,x,"Fracture of angle of mandible, initial encounter for closed fracture",
S0265XB,S02.65XB,x,"Fracture of angle of mandible, initial encounter for open fracture",
S0265XD,S02.65XD,x,"Fracture of angle of mandible, subsequent encounter for fracture with routine healing",
S0265XG,S02.65XG,x,"Fracture of angle of mandible, subsequent encounter for fracture with delayed healing",
S0265XK,S02.65XK,x,"Fracture of angle of mandible, subsequent encounter for fracture with nonunion",
S0265XS,S02.65XS,x,"Fracture of angle of mandible, sequela",
S02650,S02.650,x,"Fracture of angle of mandible, unspecified side",added 2017
S02650A,S02.650A,x,"Fracture of angle of mandible, unspecified side, initial encounter for closed fracture",added 2017
S02650B,S02.650B,x,"Fracture of angle of mandible, unspecified side, initial encounter for open fracture",added 2017
S02650D,S02.650D,x,"Fracture of angle of mandible, unspecified side, subsequent encounter for fracture with routine healing",added 2017
S02650G,S02.650G,x,"Fracture of angle of mandible, unspecified side, subsequent encounter for fracture with delayed healing",added 2017
S02650K,S02.650K,x,"Fracture of angle of mandible, unspecified side, subsequent encounter for fracture with nonunion",added 2017
S02650S,S02.650S,x,"Fracture of angle of mandible, unspecified side, sequela",added 2017
S02651,S02.651,x,Fracture of angle of right mandible,added 2017
S02651A,S02.651A,x,"Fracture of angle of right mandible, initial encounter for closed fracture",added 2017
S02651B,S02.651B,x,"Fracture of angle of right mandible, initial encounter for open fracture",added 2017
S02651D,S02.651D,x,"Fracture of angle of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02651G,S02.651G,x,"Fracture of angle of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02651K,S02.651K,x,"Fracture of angle of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02651S,S02.651S,x,"Fracture of angle of right mandible, sequela",added 2017
S02652,S02.652,x,Fracture of angle of left mandible,added 2017
S02652A,S02.652A,x,"Fracture of angle of left mandible, initial encounter for closed fracture",added 2017
S02652B,S02.652B,x,"Fracture of angle of left mandible, initial encounter for open fracture",added 2017
S02652D,S02.652D,x,"Fracture of angle of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02652G,S02.652G,x,"Fracture of angle of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02652K,S02.652K,x,"Fracture of angle of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02652S,S02.652S,x,"Fracture of angle of left mandible, sequela",added 2017
S0266,S02.66,x,Fracture of symphysis of mandible,
S0266XA,S02.66XA,x,"Fracture of symphysis of mandible, initial encounter for closed fracture",
S0266XB,S02.66XB,x,"Fracture of symphysis of mandible, initial encounter for open fracture",
S0266XD,S02.66XD,x,"Fracture of symphysis of mandible, subsequent encounter for fracture with routine healing",
S0266XG,S02.66XG,x,"Fracture of symphysis of mandible, subsequent encounter for fracture with delayed healing",
S0266XK,S02.66XK,x,"Fracture of symphysis of mandible, subsequent encounter for fracture with nonunion",
S0266XS,S02.66XS,x,"Fracture of symphysis of mandible, sequela",
S0267,S02.67,x,Fracture of alveolus of mandible,
S0267XA,S02.67XA,x,"Fracture of alveolus of mandible, initial encounter for closed fracture",
S0267XB,S02.67XB,x,"Fracture of alveolus of mandible, initial encounter for open fracture",
S0267XD,S02.67XD,x,"Fracture of alveolus of mandible, subsequent encounter for fracture with routine healing",
S0267XG,S02.67XG,x,"Fracture of alveolus of mandible, subsequent encounter for fracture with delayed healing",
S0267XK,S02.67XK,x,"Fracture of alveolus of mandible, subsequent encounter for fracture with nonunion",
S0267XS,S02.67XS,x,"Fracture of alveolus of mandible, sequela",
S02670,S02.670,x,"Fracture of alveolus of mandible, unspecified side",added 2017
S02670A,S02.670A,x,"Fracture of alveolus of mandible, unspecified side, initial encounter for closed fracture",added 2017
S02670B,S02.670B,x,"Fracture of alveolus of mandible, unspecified side, initial encounter for open fracture",added 2017
S02670D,S02.670D,x,"Fracture of alveolus of mandible, unspecified side, subsequent encounter for fracture with routine healing",added 2017
S02670G,S02.670G,x,"Fracture of alveolus of mandible, unspecified side, subsequent encounter for fracture with delayed healing",added 2017
S02670K,S02.670K,x,"Fracture of alveolus of mandible, unspecified side, subsequent encounter for fracture with nonunion",added 2017
S02670S,S02.670S,x,"Fracture of alveolus of mandible, unspecified side, sequela",added 2017
S02671,S02.671,x,Fracture of alveolus of right mandible,added 2017
S02671A,S02.671A,x,"Fracture of alveolus of right mandible, initial encounter for closed fracture",added 2017
S02671B,S02.671B,x,"Fracture of alveolus of right mandible, initial encounter for open fracture",added 2017
S02671D,S02.671D,x,"Fracture of alveolus of right mandible, subsequent encounter for fracture with routine healing",added 2017
S02671G,S02.671G,x,"Fracture of alveolus of right mandible, subsequent encounter for fracture with delayed healing",added 2017
S02671K,S02.671K,x,"Fracture of alveolus of right mandible, subsequent encounter for fracture with nonunion",added 2017
S02671S,S02.671S,x,"Fracture of alveolus of right mandible, sequela",added 2017
S02672,S02.672,x,Fracture of alveolus of left mandible,added 2017
S02672A,S02.672A,x,"Fracture of alveolus of left mandible, initial encounter for closed fracture",added 2017
S02672B,S02.672B,x,"Fracture of alveolus of left mandible, initial encounter for open fracture",added 2017
S02672D,S02.672D,x,"Fracture of alveolus of left mandible, subsequent encounter for fracture with routine healing",added 2017
S02672G,S02.672G,x,"Fracture of alveolus of left mandible, subsequent encounter for fracture with delayed healing",added 2017
S02672K,S02.672K,x,"Fracture of alveolus of left mandible, subsequent encounter for fracture with nonunion",added 2017
S02672S,S02.672S,x,"Fracture of alveolus of left mandible, sequela",added 2017
S0269,S02.69,x,Fracture of mandible of other specified site,
S0269XA,S02.69XA,x,"Fracture of mandible of other specified site, initial encounter for closed fracture",
S0269XB,S02.69XB,x,"Fracture of mandible of other specified site, initial encounter for open fracture",
S0269XD,S02.69XD,x,"Fracture of mandible of other specified site, subsequent encounter for fracture with routine healing",
S0269XG,S02.69XG,x,"Fracture of mandible of other specified site, subsequent encounter for fracture with delayed healing",
S0269XK,S02.69XK,x,"Fracture of mandible of other specified site, subsequent encounter for fracture with nonunion",
S0269XS,S02.69XS,x,"Fracture of mandible of other specified site, sequela",
S030,S03.0,x,Dislocation of jaw,
S030XXA,S03.0XXA,x,"Dislocation of jaw, initial encounter",
S030XXD,S03.0XXD,x,"Dislocation of jaw, subsequent encounter",
S030XXS,S03.0XXS,x,"Dislocation of jaw, sequela",
S0300,S03.00,x,"Dislocation of jaw, unspecified side",added 2017
S0300XA,S03.00XA,x,"Dislocation of jaw, unspecified side, initial encounter",added 2017
S0300XD,S03.00XD,x,"Dislocation of jaw, unspecified side, subsequent encounter",added 2017
S0300XS,S03.00XS,x,"Dislocation of jaw, unspecified side, sequela",added 2017
S0301,S03.01,x,"Dislocation of jaw, right side",added 2017
S0301XA,S03.01XA,x,"Dislocation of jaw, right side, initial encounter",added 2017
S0301XD,S03.01XD,x,"Dislocation of jaw, right side, subsequent encounter",added 2017
S0301XS,S03.01XS,x,"Dislocation of jaw, right side, sequela",added 2017
S0302,S03.02,x,"Dislocation of jaw, left side",added 2017
S0302XA,S03.02XA,x,"Dislocation of jaw, left side, initial encounter",added 2017
S0302XD,S03.02XD,x,"Dislocation of jaw, left side, subsequent encounter",added 2017
S0302XS,S03.02XS,x,"Dislocation of jaw, left side, sequela",added 2017
S0303,S03.03,x,"Dislocation of jaw, bilateral",added 2017
S0303XA,S03.03XA,x,"Dislocation of jaw, bilateral, initial encounter",added 2017
S0303XD,S03.03XD,x,"Dislocation of jaw, bilateral, subsequent encounter",added 2017
S0303XS,S03.03XS,x,"Dislocation of jaw, bilateral, sequela",added 2017
S032,S03.2,x,Dislocation of tooth,
S032XXA,S03.2XXA,x,"Dislocation of tooth, initial encounter",
S032XXD,S03.2XXD,x,"Dislocation of tooth, subsequent encounter",
S032XXS,S03.2XXS,x,"Dislocation of tooth, sequela",
S034,S03.4,x,Sprain of jaw,
S034XXA,S03.4XXA,x,"Sprain of jaw, initial encounter",
S034XXD,S03.4XXD,x,"Sprain of jaw, subsequent encounter",
