year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2017,WY,Wyoming,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1.5,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2013,SD,South Dakota,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,LA,Louisiana,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2019,SC,South Carolina,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2013,NE,Nebraska,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2018,VT,Vermont,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,4.25,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2017,UT,Utah,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2018,WI,Wisconsin,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2013,ME,Maine,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2011,MO,Missouri,"Number of health agencies serving jurisdictions of 250,000+ population",5,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2013,MI,Michigan,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2018,NV,Nevada,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2012,MA,Massachusetts,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2013,ME,Maine,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2016,NV,Nevada,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2019,MI,Michigan,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2013,ME,Maine,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2019,WI,Wisconsin,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,FL,Florida,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2011,MO,Missouri,Dental director position type,,Leadership,multiple choice,,Dental director position type
2016,MO,Missouri,Dental director position type,Appointed Governor,Leadership,multiple choice,,Dental director position type
2011,PA,Pennsylvania,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2014,CO,Colorado,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2016,CT,Connecticut,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2013,IA,Iowa,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,NJ,New Jersey,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2018,SC,South Carolina,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2020,WA,Washington,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2015,FL,Florida,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,84,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2012,MA,Massachusetts,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,PA,Pennsylvania,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2016,WY,Wyoming,State dental director/program manager position requirement,No,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2012,MT,Montana,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2011,NV,Nevada,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2011,WA,Washington,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2016,OR,Oregon,Current state dental director,Yes,Leadership,,,Current state dental director
2011,LA,Louisiana,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2014,TN,Tennessee,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2017,WA,Washington,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2017,NV,Nevada,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2011,MA,Massachusetts,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6.2,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,ID,Idaho,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2011,MT,Montana,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2017,KS,Kansas,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2011,KY,Kentucky,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2015,RI,Rhode Island,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2020,OK,Oklahoma,Current state dental director,Yes,Leadership,,,Current state dental director
2011,WI,Wisconsin,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2017,NC,North Carolina,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2019,NC,North Carolina,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2016,UT,Utah,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1.5,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2012,ID,Idaho,State dental director/program manager position requirement,No,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2012,RI,Rhode Island,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2014,ME,Maine,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2011,CA,California,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2013,AZ,Arizona,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2011,AK,Alaska,System for children with cleft lips/cleft palates,,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2016,HI,Hawaii,Statutory requirement or authority,,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2018,FL,Florida,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2011,VT,Vermont,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2014,MA,Massachusetts,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2012,OH,Ohio,"Number of health agencies serving jurisdictions of 250,000+ population",6,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2016,CT,Connecticut,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2019,OK,Oklahoma,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2018,MI,Michigan,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2016,IL,Illinois,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2011,DE,Delaware,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2012,IL,Illinois,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2015,FL,Florida,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2017,NJ,New Jersey,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2016,VT,Vermont,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2019,CA,California,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2011,ID,Idaho,Statutory requirement or authority,,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2018,NC,North Carolina,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2018,CT,Connecticut,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,KY,Kentucky,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2015,SD,South Dakota,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2016,VA,Virginia,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,RI,Rhode Island,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2014,RI,Rhode Island,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2013,MD,Maryland,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2016,NH,New Hampshire,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,27.5,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2017,SD,South Dakota,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2016,OR,Oregon,Years in current dental director position,1,Leadership,years,,Years in current dental director position
2011,WV,West Virginia,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2016,MD,Maryland,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2016,GA,Georgia,Years in current dental director position,6,Leadership,years,,Years in current dental director position
2011,ID,Idaho,Statutory requirement or authority,,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2013,KS,Kansas,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2015,IA,Iowa,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2016,TX,Texas,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2015,GA,Georgia,Requirement or mandate for a dental health screening or certificate at school entry,Yes,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2012,VA,Virginia,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2015,RI,Rhode Island,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2011,ID,Idaho,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2013,OK,Oklahoma,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2018,ME,Maine,State dental director/program manager position requirement,No,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2016,MD,Maryland,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2015,WA,Washington,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2020,TN,Tennessee,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2012,NJ,New Jersey,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2012,ND,North Dakota,State dental director/program manager position requirement,,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2019,AK,Alaska,Dental director position type,,Leadership,multiple choice,,Dental director position type
2016,NJ,New Jersey,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2018,NY,New York,Requirement or mandate for a dental health screening or certificate at school entry,Yes,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2014,WV,West Virginia,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2016,NJ,New Jersey,Prevention Programs,No,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2016,DC,District of Columbia,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2012,MS,Mississippi,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2019,VT,Vermont,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2012,NJ,New Jersey,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,NM,New Mexico,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2019,TX,Texas,Current state dental director,Permanent,Leadership,,,Current state dental director
2015,KY,Kentucky,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2016,MO,Missouri,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2017,NH,New Hampshire,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,27.5,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,MO,Missouri,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2019,NH,New Hampshire,Current state dental director,Permanent,Leadership,,,Current state dental director
2017,KY,Kentucky,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,7.5,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2017,AK,Alaska,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2020,NE,Nebraska,State dental director/program manager position requirement,Yes,Leadership,,Full-time,State dental director/program manager position requirement: Full-time
2016,NM,New Mexico,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2016,ID,Idaho,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2017,RI,Rhode Island,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2011,WY,Wyoming,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2014,MA,Massachusetts,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2012,PA,Pennsylvania,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2012,FL,Florida,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2019,WV,West Virginia,Oral health (open-mouth) surveys using Basic Screening Survey protocol,Yes,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2013,UT,Utah,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2017,NM,New Mexico,Special populations programs,Yes,Programs,,For older adults,Special populations programs: For older adults
2020,NH,New Hampshire,State dental director/program manager position requirement,Yes,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2013,TX,Texas,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2012,MT,Montana,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2019,DE,Delaware,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2018,TN,Tennessee,Years in current dental director position,3,Leadership,years,,Years in current dental director position
2018,DE,Delaware,Current state dental director,Yes,Leadership,,,Current state dental director
2012,RI,Rhode Island,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,NM,New Mexico,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2019,TN,Tennessee,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2015,AR,Arkansas,Current state dental director,Yes,Leadership,,,Current state dental director
2017,CT,Connecticut,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2016,NH,New Hampshire,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2014,IA,Iowa,Statutory requirement or authority,Yes,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2013,IA,Iowa,State dental director/program manager position requirement,Yes,Leadership,,Public health experience,State dental director/program manager position requirement: Public health experience
2012,AL,Alabama,System for children with cleft lips/cleft palates,Yes,Programs,,"System for recording children with cleft lips, palates, and other craniofacial anomalies","System for children with cleft lips/cleft palates: System for recording children with cleft lips, palates, and other craniofacial anomalies"
2019,AR,Arkansas,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2014,CA,California,Current state dental director,Yes,Leadership,,,Current state dental director
2020,ME,Maine,Dental director position type,Civil Service,Leadership,multiple choice,,Dental director position type
2019,NE,Nebraska,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,3,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2012,AR,Arkansas,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2018,TX,Texas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,16,Staff,FTE,Directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Directly supervised by state health agency staff
2012,KY,Kentucky,Requirement or mandate for a dental health screening or certificate at school entry,,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2017,AZ,Arizona,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2020,LA,Louisiana,Special populations programs,No,Programs,,For pregnant women,Special populations programs: For pregnant women
2019,WY,Wyoming,"Number of health agencies serving jurisdictions of 250,000+ population",,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,IA,Iowa,System for children with cleft lips/cleft palates,No,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2019,KY,Kentucky,Oral health (open-mouth) surveys using Basic Screening Survey protocol,No,Programs,,,Oral health (open-mouth) surveys using Basic Screening Survey protocol
2017,MS,Mississippi,Requirement or mandate for a dental health screening or certificate at school entry,No,Policies,,,Requirement or mandate for a dental health screening or certificate at school entry
2011,AR,Arkansas,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,5.85,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2017,NV,Nevada,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2020,WY,Wyoming,Special populations programs,,Programs,,For pregnant women,Special populations programs: For pregnant women
2012,DC,District of Columbia,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2013,MO,Missouri,Current state dental director,Yes,Leadership,,,Current state dental director
2013,KY,Kentucky,Current state dental director,Yes,Leadership,,,Current state dental director
2018,IA,Iowa,Years in current dental director position,13,Leadership,years,,Years in current dental director position
2014,WY,Wyoming,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,6,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2020,NM,New Mexico,Special populations programs,Yes,Programs,,For pregnant women,Special populations programs: For pregnant women
2015,AL,Alabama,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
2016,WA,Washington,Years in current dental director position,3,Leadership,years,,Years in current dental director position
2019,UT,Utah,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2018,IL,Illinois,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2016,AK,Alaska,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2011,OH,Ohio,Dental director position type,,Leadership,multiple choice,,Dental director position type
2018,AR,Arkansas,Current state dental director,Yes,Leadership,,,Current state dental director
2011,GA,Georgia,Prevention Programs,Yes,Programs,,Early Childhood Caries (ECC) prevention programs,Prevention Programs: Early Childhood Caries (ECC) prevention programs
2017,NY,New York,Special populations programs,No,Programs,,For older adults,Special populations programs: For older adults
2015,NV,Nevada,"Number of health agencies serving jurisdictions of 250,000+ population",1,Leadership,agencies,With a dental program,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program"
2018,NE,Nebraska,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,2.5,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2019,WA,Washington,Statutory requirement or authority,No,Leadership,,For oral health program,Statutory requirement or authority: For oral health program
2019,MN,Minnesota,Prevention Programs,Yes,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2018,TN,Tennessee,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2018,FL,Florida,Prevention Programs,Yes,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2013,CA,California,"Number of health agencies serving jurisdictions of 250,000+ population",4,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2012,NH,New Hampshire,Prevention Programs,Yes,Programs,,School-based or school-linked sealant programs,Prevention Programs: School-based or school-linked sealant programs
2018,MO,Missouri,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2020,WA,Washington,Special populations programs,,Programs,,For older adults,Special populations programs: For older adults
2012,WI,Wisconsin,"Statewide, broad-based oral health coalition",,Leadership,,,"Statewide, broad-based oral health coalition"
2012,ND,North Dakota,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,4,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2018,KY,Kentucky,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2018,VA,Virginia,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2019,WV,West Virginia,Statutory requirement or authority,Yes,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2019,IN,Indiana,"Number of health agencies serving jurisdictions of 250,000+ population",3,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2014,NJ,New Jersey,System for children with cleft lips/cleft palates,Yes,Programs,,System for referring children with cleft lips/cleft palates to rehabilitative teams,System for children with cleft lips/cleft palates: System for referring children with cleft lips/cleft palates to rehabilitative teams
2013,ID,Idaho,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,With a dental program directed by a dental professional,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional"
2019,IA,Iowa,"Number of health agencies serving jurisdictions of 250,000+ population",2,Leadership,agencies,Total,"Number of health agencies serving jurisdictions of 250,000+ population: Total"
2011,ID,Idaho,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2014,NC,North Carolina,Statutory requirement or authority,No,Leadership,,For state dental director,Statutory requirement or authority: For state dental director
2015,TN,Tennessee,"Statewide, broad-based oral health coalition",No,Leadership,,,"Statewide, broad-based oral health coalition"
2017,AK,Alaska,State dental director/program manager position requirement,No,Leadership,,Public health degree,State dental director/program manager position requirement: Public health degree
2018,MT,Montana,Current state dental director,Yes,Leadership,,,Current state dental director
2011,CO,Colorado,Current state dental director,Yes,Leadership,,,Current state dental director
2013,SD,South Dakota,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,1,Staff,FTE,Total,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Total
2013,MT,Montana,"Number of health agencies serving jurisdictions of 250,000+ population",0,Leadership,agencies,With a dental program directed by a dental professional with graduate degree in public health,"Number of health agencies serving jurisdictions of 250,000+ population: With a dental program directed by a dental professional with graduate degree in public health"
2011,GA,Georgia,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program,0,Staff,FTE,Not directly supervised by state health agency staff,Number of full-time equivalent (FTE) employees or contractors funded by state dental health program: Not directly supervised by state health agency staff
